Holley Price to Free Cash Flow Ratio Historical Data,Holley Price to Free Cash Flow Ratio Historical Data,Holley Price to Free Cash Flow Ratio Historical Data,Holley Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.5,,7.08
2024-12-31,3.02,$0.35,8.55
2024-09-30,2.95,$0.59,4.98
2024-06-30,3.58,$0.79,4.55
2024-03-31,4.46,$0.83,5.38
2023-12-31,4.87,$0.71,6.9
2023-09-30,4.99,$0.44,11.35
2023-06-30,4.09,$0.17,24.02
2023-03-31,2.74,$-0.09,0.0
2022-12-31,2.12,$-0.00,0.0
2022-09-30,4.05,$-0.06,0.0
2022-06-30,10.5,$-0.41,0.0
2022-03-31,13.91,$-0.05,0.0
2021-12-31,12.99,$0.07,174.13
2021-09-30,11.94,$0.14,85.9
