Navios Maritime Partners LP Price to Free Cash Flow Ratio Historical Data,Navios Maritime Partners LP Price to Free Cash Flow Ratio Historical Data,Navios Maritime Partners LP Price to Free Cash Flow Ratio Historical Data,Navios Maritime Partners LP Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,40.79,,11.62
2024-09-30,62.57,$3.51,17.82
2024-06-30,50.92,$12.23,4.17
2024-03-31,42.48,$16.25,2.61
2023-12-31,27.82,$21.08,1.32
2023-09-30,22.96,$22.31,1.03
2023-06-30,21.65,$19.55,1.11
2023-03-31,23.85,$18.41,1.3
2022-12-31,25.62,$11.84,2.16
2022-09-30,24.15,$4.59,5.26
2022-06-30,22.62,$15.76,1.43
2022-03-31,34.56,$7.04,4.91
2021-12-31,24.59,$8.00,3.08
2021-09-30,31.65,$6.03,5.25
2021-06-30,28.86,$-1.31,0.0
2021-03-31,22.97,$1.83,12.58
2020-12-31,10.89,$2.72,4.0
2020-09-30,5.81,$7.48,0.78
2020-06-30,9.29,$4.68,1.99
2020-03-31,4.89,$6.30,0.78
2019-12-31,16.66,$5.10,3.27
2019-09-30,15.63,$6.34,2.47
2019-06-30,11.67,$4.46,2.62
2019-03-31,11.55,$2.78,4.15
2018-12-31,10.56,$2.65,3.99
2018-09-30,21.47,$2.35,9.13
2018-06-30,22.97,$-1.37,0.0
2018-03-31,21.64,$-15.44,0.0
2017-12-31,28.38,$1.03,27.66
2017-09-30,24.65,$0.05,449.82
2017-06-30,19.12,$2.38,8.05
2017-03-31,24.89,$20.24,1.23
2016-12-31,16.95,$7.43,2.28
2016-09-30,16.71,$-15.78,0.0
2016-06-30,15.51,$-9.92,0.0
2016-03-31,14.91,$-5.31,0.0
2015-12-31,36.31,$-4.47,0.0
2015-09-30,84.17,$10.48,8.03
2015-06-30,118.22,$0.05,2251.79
2015-03-31,118.43,$8.23,14.39
2014-12-31,104.3,$3.02,34.51
2014-09-30,177.28,$-53.48,0.0
2014-06-30,188.85,$-49.76,0.0
2014-03-31,184.85,$-60.52,0.0
2013-12-31,177.0,$-53.43,0.0
2013-09-30,132.02,$26.84,4.92
2013-06-30,126.51,$26.86,4.71
2013-03-31,123.05,$19.99,6.16
2012-12-31,101.08,$23.41,4.32
2012-09-30,118.55,$17.27,6.86
2012-06-30,105.47,$29.89,3.53
2012-03-31,125.61,$16.09,7.81
2011-12-31,108.1,$16.92,6.39
2011-09-30,94.87,$-33.34,0.0
2011-06-30,127.31,$-34.77,0.0
2011-03-31,137.92,$-31.67,0.0
2010-12-31,129.06,$-86.97,0.0
2010-09-30,120.64,$-57.66,0.0
2010-06-30,99.98,$-61.58,0.0
2010-03-31,108.56,$-41.77,0.0
2009-12-31,88.97,$49.66,1.79
