Tucows Price to Free Cash Flow Ratio Historical Data,Tucows Price to Free Cash Flow Ratio Historical Data,Tucows Price to Free Cash Flow Ratio Historical Data,Tucows Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,17.1,,0.0
2024-12-31,17.14,$-6.90,0.0
2024-09-30,20.89,$-5.96,0.0
2024-06-30,19.32,$-6.93,0.0
2024-03-31,18.56,$-7.32,0.0
2023-12-31,27.0,$-8.91,0.0
2023-09-30,20.41,$-11.54,0.0
2023-06-30,27.74,$-13.26,0.0
2023-03-31,19.45,$-12.63,0.0
2022-12-31,33.92,$-10.85,0.0
2022-09-30,37.41,$-8.82,0.0
2022-06-30,44.51,$-5.59,0.0
2022-03-31,68.3,$-5.63,0.0
2021-12-31,83.82,$-3.98,0.0
2021-09-30,78.95,$-3.81,0.0
2021-06-30,80.32,$-2.53,0.0
2021-03-31,77.5,$-1.15,0.0
2020-12-31,73.89,$-0.78,0.0
2020-09-30,68.9,$0.19,367.08
2020-06-30,57.32,$0.19,295.46
2020-03-31,48.26,$0.18,273.58
2019-12-31,61.78,$-0.34,0.0
2019-09-30,54.16,$-0.17,0.0
2019-06-30,61.02,$0.14,426.71
2019-03-31,81.18,$0.31,258.12
2018-12-31,60.06,$0.86,69.78
2018-09-30,55.75,$1.64,33.99
2018-06-30,60.65,$1.66,36.54
2018-03-31,56.0,$2.29,24.46
2017-12-31,70.05,$1.76,39.88
2017-09-30,58.55,$1.22,47.83
2017-06-30,53.5,$0.96,55.45
2017-03-31,51.05,$0.80,63.5
2016-12-31,35.25,$1.36,25.88
2016-09-30,32.0,$1.26,25.46
2016-06-30,24.36,$1.64,14.83
2016-03-31,22.45,$1.42,15.85
2015-12-31,21.1,$1.22,17.36
2015-09-30,23.14,$1.10,21.04
2015-06-30,27.85,$0.97,28.72
2015-03-31,19.0,$0.94,20.16
2014-12-31,19.41,$0.70,27.88
2014-09-30,14.93,$0.60,25.0
2014-06-30,12.24,$0.49,24.97
2014-03-31,12.65,$0.65,19.59
2013-12-31,14.0,$0.65,21.46
2013-09-30,9.56,$0.66,14.58
2013-06-30,7.44,$0.53,14.03
2013-03-31,6.88,$0.29,23.77
2012-12-31,5.76,$0.44,13.24
2012-09-30,5.12,$0.47,10.88
2012-06-30,4.4,$0.41,10.72
2012-03-31,4.92,$0.47,10.4
2011-12-31,3.0,$0.36,8.32
2011-09-30,3.02,$0.33,9.29
2011-06-30,3.2,$0.34,9.52
2011-03-31,3.4,$0.37,9.3
2010-12-31,2.91,$0.41,7.06
2010-09-30,2.66,$0.42,6.38
2010-06-30,2.56,$0.28,9.07
2010-03-31,2.84,$0.35,8.07
2009-12-31,2.72,$0.32,8.46
