Minerals Technologies Price to Free Cash Flow Ratio Historical Data,Minerals Technologies Price to Free Cash Flow Ratio Historical Data,Minerals Technologies Price to Free Cash Flow Ratio Historical Data,Minerals Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,67.17,,13.63
2024-12-31,76.21,$4.93,15.46
2024-09-30,77.12,$5.47,14.11
2024-06-30,82.93,$5.42,15.31
2024-03-31,75.07,$5.23,14.34
2023-12-31,71.01,$4.30,16.5
2023-09-30,54.43,$2.66,20.45
2023-06-30,57.29,$1.98,28.87
2023-03-31,59.95,$1.59,37.62
2022-12-31,60.2,$0.74,80.92
2022-09-30,48.94,$1.54,31.82
2022-06-30,60.71,$1.84,33.05
2022-03-31,65.42,$2.81,23.26
2021-12-31,72.29,$4.35,16.61
2021-09-30,68.98,$5.07,13.61
2021-06-30,77.65,$5.57,13.94
2021-03-31,74.3,$5.68,13.08
2020-12-31,61.23,$5.10,12.0
2020-09-30,50.32,$4.91,10.26
2020-06-30,46.17,$4.99,9.25
2020-03-31,35.64,$4.96,7.18
2019-12-31,56.59,$4.94,11.46
2019-09-30,52.09,$4.45,11.7
2019-06-30,52.45,$4.30,12.21
2019-03-31,57.57,$3.46,16.63
2018-12-31,50.23,$3.59,14.0
2018-09-30,66.08,$3.15,21.0
2018-06-30,73.6,$3.54,20.81
2018-03-31,65.35,$4.14,15.8
2017-12-31,67.15,$3.72,18.07
2017-09-30,68.86,$4.06,16.97
2017-06-30,71.29,$3.88,18.36
2017-03-31,74.55,$3.99,18.67
2016-12-31,75.14,$4.66,16.12
2016-09-30,68.71,$5.06,13.58
2016-06-30,55.17,$5.51,10.01
2016-03-31,55.17,$6.28,8.79
2015-12-31,44.46,$5.40,8.23
2015-09-30,46.65,$6.60,7.07
2015-06-30,65.93,$6.51,10.12
2015-03-31,70.68,$6.61,10.7
2014-12-31,67.11,$6.85,9.8
2014-09-30,59.59,$4.85,12.27
2014-06-30,63.28,$3.84,16.47
2014-03-31,62.24,$2.26,27.56
2013-12-31,57.86,$2.60,22.25
2013-09-30,47.51,$2.01,23.6
2013-06-30,39.74,$2.34,17.01
2013-03-31,39.86,$2.50,15.93
2012-12-31,38.28,$2.48,15.44
2012-09-30,33.97,$2.85,11.91
2012-06-30,30.52,$2.46,12.43
2012-03-31,31.28,$2.39,13.08
2011-12-31,27.01,$2.25,11.98
2011-09-30,23.52,$2.09,11.23
2011-06-30,31.62,$2.25,14.04
2011-03-31,32.65,$2.52,12.94
2010-12-31,31.15,$2.89,10.79
2010-09-30,28.03,$3.31,8.47
2010-06-30,22.6,$3.76,6.0
2010-03-31,24.62,$3.76,6.55
2009-12-31,25.84,$3.61,7.16
