Precipio Price to Free Cash Flow Ratio Historical Data,Precipio Price to Free Cash Flow Ratio Historical Data,Precipio Price to Free Cash Flow Ratio Historical Data,Precipio Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.78,,0.0
2024-09-30,6.7,$-0.36,0.0
2024-06-30,5.19,$-0.68,0.0
2024-03-31,6.7,$-1.93,0.0
2023-12-31,6.5,$-2.84,0.0
2023-09-30,5.61,$-4.06,0.0
2023-06-30,7.8,$-5.76,0.0
2023-03-31,13.28,$-6.34,0.0
2022-12-31,11.03,$-7.03,0.0
2022-09-30,16.08,$-7.47,0.0
2022-06-30,21.2,$-7.31,0.0
2022-03-31,27.0,$-7.33,0.0
2021-12-31,31.6,$-6.88,0.0
2021-09-30,56.4,$-6.66,0.0
2021-06-30,72.6,$-6.02,0.0
2021-03-31,46.2,$-6.90,0.0
2020-12-31,41.4,$-9.14,0.0
2020-09-30,49.0,$-17.06,0.0
2020-06-30,28.4,$-21.20,0.0
2020-03-31,14.0,$-25.21,0.0
2019-12-31,41.0,$-32.29,0.0
2019-09-30,52.2,$-54.96,0.0
2019-06-30,67.6,$-59.62,0.0
2019-03-31,37.5,$-78.58,0.0
2018-12-31,46.2,$-95.09,0.0
2018-09-30,118.56,$-323.76,0.0
2018-06-30,110.34,$-492.97,0.0
2018-03-31,161.16,$-468.38,0.0
2017-12-31,360.0,$-441.66,0.0
2017-09-30,648.0,$-181.56,0.0
2017-06-30,2700.0,$-2.86,0.0
2017-03-31,6030.0,$857.94,7.03
2016-12-31,2557.8,$-2.22,0.0
2016-09-30,2538.0,$-1.79,0.0
2016-06-30,4950.0,$-1.42,0.0
2016-03-31,5252.4,$-861.53,0.0
2015-12-31,9630.0,$-1.02,0.0
2015-09-30,8308.8,$-1.01,0.0
2015-06-30,15030.0,$-1.36,0.0
2015-03-31,12960.0,$-1.69,0.0
2014-12-31,18090.0,$-1.85,0.0
2014-09-30,33930.0,$-1.86,0.0
2014-06-30,33660.0,$-1.43,0.0
2014-03-31,41220.0,$-1.29,0.0
2013-12-31,49680.0,$-1.25,0.0
2013-09-30,41040.0,$-2.73,0.0
2013-06-30,43200.0,$-2.66,0.0
2013-03-31,43200.0,$-2.36,0.0
2012-12-31,65880.0,$-1.91,0.0
2012-09-30,102599.99,$-0.10,0.0
2012-06-30,97200.0,$-0.08,0.0
2012-03-31,129599.99,$-0.05,0.0
2011-12-31,139319.99,$-0.00,0.0
2011-09-30,139319.99,$-0.04,0.0
2011-06-30,188999.99,$-0.04,0.0
2011-03-31,95040.0,$-0.05,0.0
2010-12-31,71280.0,$-0.04,0.0
2010-09-30,43200.0,$-0.00,0.0
2010-06-30,52920.0,$0.02,3226829.11
2010-03-31,92880.0,$0.02,3902520.82
2009-12-31,74520.0,$0.02,4006451.41
