MUELLER WATER PRODUCTS Price to Free Cash Flow Ratio Historical Data,MUELLER WATER PRODUCTS Price to Free Cash Flow Ratio Historical Data,MUELLER WATER PRODUCTS Price to Free Cash Flow Ratio Historical Data,MUELLER WATER PRODUCTS Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,27.68,,25.36
2024-12-31,22.5,$1.09,20.61
2024-09-30,21.64,$1.22,17.72
2024-06-30,17.82,$1.04,17.09
2024-03-31,15.94,$0.96,16.56
2023-12-31,14.2,$0.90,15.85
2023-09-30,12.44,$0.43,29.16
2023-06-30,15.86,$0.25,63.97
2023-03-31,13.56,$-0.09,0.0
2022-12-31,10.42,$-0.14,0.0
2022-09-30,9.89,$-0.02,0.0
2022-06-30,11.24,$0.00,0.0
2022-03-31,12.32,$0.23,53.3
2021-12-31,13.67,$0.53,25.65
2021-09-30,14.4,$0.59,24.21
2021-06-30,13.59,$0.78,17.51
2021-03-31,13.04,$0.92,14.24
2020-12-31,11.58,$0.75,15.45
2020-09-30,9.67,$0.46,21.07
2020-06-30,8.74,$0.44,19.75
2020-03-31,7.38,$0.17,42.72
2019-12-31,10.99,$-0.08,0.0
2019-09-30,10.26,$0.05,198.81
2019-06-30,8.92,$-0.01,0.0
2019-03-31,9.07,$0.19,46.98
2018-12-31,8.18,$0.49,16.82
2018-09-30,10.3,$0.53,19.3
2018-06-30,10.44,$0.41,25.18
2018-03-31,9.64,$0.27,35.23
2017-12-31,11.07,$0.28,39.86
2017-09-30,11.27,$0.12,92.5
2017-06-30,10.25,$0.30,33.61
2017-03-31,10.33,$0.43,24.16
2016-12-31,11.6,$0.44,26.17
2016-09-30,10.91,$0.51,21.39
2016-06-30,9.9,$0.46,21.51
2016-03-31,8.54,$0.43,20.04
2015-12-31,7.41,$0.33,22.54
2015-09-30,6.59,$0.22,30.38
2015-06-30,7.81,$0.47,16.56
2015-03-31,8.44,$0.46,18.23
2014-12-31,8.75,$0.59,14.88
2014-09-30,7.07,$0.71,9.93
2014-06-30,7.36,$0.60,12.36
2014-03-31,8.07,$0.54,15.01
2013-12-31,7.95,$0.45,17.51
2013-09-30,6.76,$0.49,13.88
2013-06-30,5.84,$0.38,15.52
2013-03-31,5.0,$0.10,48.27
2012-12-31,4.71,$0.21,21.97
2012-09-30,4.1,$0.29,14.05
2012-06-30,2.88,$0.32,8.92
2012-03-31,2.76,$0.41,6.71
2011-12-31,2.01,$0.24,8.4
2011-09-30,2.03,$0.19,10.5
2011-06-30,3.23,$0.31,10.53
2011-03-31,3.62,$0.12,29.96
2010-12-31,3.36,$0.42,8.0
2010-09-30,2.42,$0.85,2.85
2010-06-30,2.95,$0.84,3.52
2010-03-31,3.79,$1.54,2.46
2009-12-31,4.11,$1.25,3.29
