Exelon Price to Free Cash Flow Ratio Historical Data,Exelon Price to Free Cash Flow Ratio Historical Data,Exelon Price to Free Cash Flow Ratio Historical Data,Exelon Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,44.59,,0.0
2024-12-31,37.64,$-1.52,0.0
2024-09-30,40.15,$-1.43,0.0
2024-06-30,33.92,$-1.79,0.0
2024-03-31,36.45,$-2.08,0.0
2023-12-31,34.46,$-2.71,0.0
2023-09-30,35.95,$-3.53,0.0
2023-06-30,38.41,$-3.98,0.0
2023-03-31,39.16,$-3.58,0.0
2022-12-31,40.06,$-2.31,0.0
2022-09-30,34.41,$-4.16,0.0
2022-06-30,41.33,$-2.21,0.0
2022-03-31,43.12,$-1.52,0.0
2021-12-31,36.98,$-4.18,0.0
2021-09-30,30.73,$-3.54,0.0
2021-06-30,27.94,$-4.96,0.0
2021-03-31,27.35,$-5.68,0.0
2020-12-31,26.15,$-3.86,0.0
2020-09-30,21.95,$-2.12,0.0
2020-06-30,22.05,$-1.03,0.0
2020-03-31,22.14,$-0.71,0.0
2019-12-31,27.21,$-0.59,0.0
2019-09-30,28.6,$0.03,907.81
2019-06-30,28.15,$0.34,81.8
2019-03-31,29.22,$0.64,45.53
2018-12-31,26.09,$1.18,22.16
2018-09-30,25.06,$1.08,23.2
2018-06-30,24.26,$1.07,22.75
2018-03-31,22.03,$0.79,27.75
2017-12-31,22.05,$0.12,181.91
2017-09-30,20.91,$-0.81,0.0
2017-06-30,19.85,$-0.94,0.0
2017-03-31,19.61,$-0.23,0.0
2016-12-31,19.16,$-0.03,0.0
2016-09-30,17.79,$0.87,20.42
2016-06-30,19.25,$-0.48,0.0
2016-03-31,18.82,$-0.46,0.0
2015-12-31,14.43,$0.16,92.68
2015-09-30,15.27,$-1.68,0.0
2015-06-30,16.0,$-0.29,0.0
2015-03-31,16.96,$-0.85,0.0
2014-12-31,18.54,$-1.88,0.0
2014-09-30,16.9,$0.69,24.33
2014-06-30,17.91,$0.48,37.62
2014-03-31,16.33,$0.59,27.72
2013-12-31,13.19,$1.10,11.96
2013-09-30,14.11,$1.02,13.88
2013-06-30,14.55,$0.77,18.96
2013-03-31,16.11,$0.89,18.04
2012-12-31,13.66,$0.87,15.69
2012-09-30,16.06,$1.78,9.01
2012-06-30,16.75,$2.58,6.49
2012-03-31,17.29,$2.55,6.77
2011-12-31,18.8,$1.22,15.42
2011-09-30,18.26,$0.20,90.93
2011-06-30,18.13,$0.24,74.53
2011-03-31,17.23,$-0.64,0.0
2010-12-31,17.19,$2.89,5.94
2010-09-30,17.35,$3.28,5.29
2010-06-30,15.28,$3.02,5.06
2010-03-31,17.41,$3.87,4.49
2009-12-31,19.19,$4.26,4.5
