Organovo Holdings Price to Free Cash Flow Ratio Historical Data,Organovo Holdings Price to Free Cash Flow Ratio Historical Data,Organovo Holdings Price to Free Cash Flow Ratio Historical Data,Organovo Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.31,,0.0
2024-12-31,0.46,$-0.70,0.0
2024-09-30,0.51,$-0.95,0.0
2024-06-30,0.76,$-1.20,0.0
2024-03-31,1.03,$-1.61,0.0
2023-12-31,1.11,$-1.88,0.0
2023-09-30,1.25,$-1.89,0.0
2023-06-30,1.69,$-1.79,0.0
2023-03-31,2.19,$-1.47,0.0
2022-12-31,1.41,$-1.09,0.0
2022-09-30,2.05,$-1.14,0.0
2022-06-30,1.77,$-1.12,0.0
2022-03-31,3.76,$-1.02,0.0
2021-12-31,3.63,$-1.15,0.0
2021-09-30,6.8,$-0.94,0.0
2021-06-30,9.4,$-1.78,0.0
2021-03-31,9.64,$-1.99,0.0
2020-12-31,12.3,$-2.18,0.0
2020-09-30,7.91,$-1.96,0.0
2020-06-30,11.0,$-1.64,0.0
2020-03-31,8.2,$-2.18,0.0
2019-12-31,7.11,$-2.59,0.0
2019-09-30,5.21,$-3.25,0.0
2019-06-30,10.46,$-3.22,0.0
2019-03-31,19.84,$-3.55,0.0
2018-12-31,19.14,$-3.71,0.0
2018-09-30,23.0,$-4.24,0.0
2018-06-30,28.0,$-4.65,0.0
2018-03-31,20.6,$-5.42,0.0
2017-12-31,26.8,$-6.04,0.0
2017-09-30,44.4,$-6.12,0.0
2017-06-30,52.6,$-6.43,0.0
2017-03-31,63.6,$-6.25,0.0
2016-12-31,67.8,$-6.45,0.0
2016-09-30,75.8,$-6.72,0.0
2016-06-30,74.4,$-7.05,0.0
2016-03-31,43.4,$-6.99,0.0
2015-12-31,49.8,$-6.70,0.0
2015-09-30,53.6,$-6.27,0.0
2015-06-30,75.4,$-6.17,0.0
2015-03-31,70.8,$-5.30,0.0
2014-12-31,145.0,$-5.35,0.0
2014-09-30,127.4,$-5.16,0.0
2014-06-30,167.0,$-4.38,0.0
2014-03-31,152.8,$-4.33,0.0
2013-12-31,221.4,$-2.67,0.0
2013-09-30,115.4,$-0.19,0.0
2013-06-30,75.6,$0.03,2885.5
2013-03-31,73.6,0,0.0
2012-12-31,52.0,$-2.25,0.0
