Bank Of New York Mellon Price to Free Cash Flow Ratio Historical Data,Bank Of New York Mellon Price to Free Cash Flow Ratio Historical Data,Bank Of New York Mellon Price to Free Cash Flow Ratio Historical Data,Bank Of New York Mellon Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,83.93,,0.0
2024-12-31,76.83,$-1.05,0.0
2024-09-30,71.42,$-5.50,0.0
2024-06-30,59.08,$1.50,39.46
2024-03-31,56.43,$0.27,206.47
2023-12-31,50.59,$6.08,8.32
2023-09-30,41.04,$12.06,3.4
2023-06-30,42.45,$10.43,4.07
2023-03-31,42.95,$14.78,2.91
2022-12-31,42.7,$16.82,2.54
2022-09-30,35.81,$17.07,2.1
2022-06-30,38.45,$12.26,3.14
2022-03-31,45.38,$9.79,4.63
2021-12-31,52.8,$2.03,26.05
2021-09-30,46.86,$-2.57,0.0
2021-06-30,46.0,$-1.67,0.0
2021-03-31,42.19,$2.62,16.1
2020-12-31,37.57,$4.28,8.78
2020-09-30,30.14,$2.78,10.84
2020-06-30,33.63,$7.22,4.66
2020-03-31,29.06,$-2.14,0.0
2019-12-31,43.14,$-1.22,0.0
2019-09-30,38.49,$4.51,8.53
2019-06-30,37.35,$0.53,70.15
2019-03-31,42.42,$4.71,9.0
2018-12-31,39.38,$4.97,7.93
2018-09-30,42.4,$3.03,14.0
2018-06-30,44.61,$6.87,6.49
2018-03-31,42.44,$3.81,11.15
2017-12-31,44.18,$3.37,13.12
2017-09-30,43.29,$6.50,6.66
2017-06-30,41.47,$1.72,24.06
2017-03-31,38.23,$2.25,16.97
2016-12-31,38.19,$5.21,7.33
2016-09-30,32.01,$1.04,30.8
2016-06-30,31.03,$2.17,14.32
2016-03-31,29.29,$4.94,5.93
2015-12-31,32.63,$3.22,10.15
2015-09-30,30.87,$4.12,7.48
2015-06-30,32.96,$4.11,8.02
2015-03-31,31.48,$4.68,6.73
2014-12-31,31.59,$3.79,8.34
2014-09-30,30.02,$2.18,13.78
2014-06-30,28.92,$1.72,16.8
2014-03-31,27.1,$0.29,93.61
2013-12-31,26.7,$-1.09,0.0
2013-09-30,22.97,$-0.23,0.0
2013-06-30,21.24,$-0.30,0.0
2013-03-31,21.08,$-1.62,0.0
2012-12-31,19.26,$0.84,22.8
2012-09-30,16.86,$3.04,5.54
2012-06-30,16.26,$0.88,18.39
2012-03-31,17.78,$1.09,16.34
2011-12-31,14.58,$1.31,11.11
2011-09-30,13.53,$-0.21,0.0
2011-06-30,18.55,$3.80,4.88
2011-03-31,21.53,$2.37,9.1
2010-12-31,21.71,$3.10,7.0
2010-09-30,18.71,$3.29,5.68
2010-06-30,17.62,$2.59,6.79
2010-03-31,21.97,$4.31,5.09
2009-12-31,19.84,$2.88,6.88
