Sunlands Technology Group Price to Free Cash Flow Ratio Historical Data,Sunlands Technology Group Price to Free Cash Flow Ratio Historical Data,Sunlands Technology Group Price to Free Cash Flow Ratio Historical Data,Sunlands Technology Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.59,,4.05
2024-09-30,7.73,$1.38,5.6
2024-06-30,7.85,$1.38,5.69
2024-03-31,9.72,$1.38,7.05
2023-12-31,10.17,$1.38,7.37
2023-09-30,5.46,$0.06,85.85
2023-06-30,3.69,$0.06,58.02
2023-03-31,8.5,$0.06,133.65
2022-12-31,7.29,$0.06,114.62
2022-09-30,4.19,$-4.51,0.0
2022-06-30,5.09,$-4.51,0.0
2022-03-31,3.86,$-4.51,0.0
2021-12-31,4.45,$-4.51,0.0
2021-09-30,4.8,$-2.28,0.0
2021-06-30,11.23,$-2.28,0.0
2021-03-31,12.35,$-2.28,0.0
2020-12-31,12.24,$-2.28,0.0
2020-09-30,18.97,$-5.86,0.0
2020-06-30,15.04,$-5.86,0.0
2020-03-31,15.38,$-5.86,0.0
2019-12-31,28.85,$-5.86,0.0
2019-09-30,33.12,$-3.90,0.0
2019-06-30,26.83,$-3.90,0.0
2019-03-31,40.41,$-3.90,0.0
2018-12-31,34.13,$-3.90,0.0
