Marine Petroleum Trust Price to Free Cash Flow Ratio Historical Data,Marine Petroleum Trust Price to Free Cash Flow Ratio Historical Data,Marine Petroleum Trust Price to Free Cash Flow Ratio Historical Data,Marine Petroleum Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.92,,13.05
2024-12-31,3.97,$0.30,13.22
2024-09-30,3.91,$0.36,10.88
2024-06-30,3.76,$0.36,10.55
2024-03-31,3.87,$0.40,9.67
2023-12-31,3.7,$0.45,8.21
2023-09-30,4.64,$0.54,8.59
2023-06-30,4.65,$0.69,6.76
2023-03-31,6.51,$0.78,8.4
2022-12-31,5.96,$0.86,6.93
2022-09-30,6.29,$0.76,8.25
2022-06-30,5.95,$0.60,9.88
2022-03-31,6.24,$0.44,14.13
2021-12-31,3.28,$0.25,12.92
2021-09-30,3.14,$0.17,18.9
2021-06-30,3.6,$0.08,44.55
2021-03-31,3.76,$0.11,32.9
2020-12-31,2.43,$0.18,13.19
2020-09-30,1.35,$0.24,5.74
2020-06-30,1.34,$0.29,4.66
2020-03-31,0.93,$0.28,3.33
2019-12-31,1.24,$0.26,4.81
2019-09-30,1.32,$0.27,4.83
2019-06-30,1.42,$0.32,4.48
2019-03-31,1.46,$0.33,4.35
2018-12-31,1.07,$0.37,2.88
2018-09-30,2.25,$0.35,6.45
2018-06-30,2.68,$0.33,8.11
2018-03-31,2.09,$0.38,5.48
2017-12-31,1.86,$0.36,5.12
2017-09-30,2.09,$0.38,5.46
2017-06-30,1.95,$0.38,5.18
2017-03-31,2.09,$0.30,7.04
2016-12-31,2.21,$0.31,7.05
2016-09-30,1.5,$0.31,4.92
2016-06-30,2.01,$0.35,5.66
2016-03-31,2.6,$0.41,6.41
2015-12-31,1.92,$0.49,3.93
2015-09-30,2.58,$0.74,3.49
2015-06-30,3.92,$0.94,4.15
2015-03-31,5.71,$1.18,4.85
2014-12-31,4.34,$1.25,3.48
2014-09-30,6.91,$1.39,4.97
2014-06-30,6.87,$1.41,4.88
2014-03-31,6.53,$0.38,16.96
2013-12-31,5.55,$0.51,10.94
2013-09-30,6.61,$0.36,18.42
2013-06-30,6.52,$0.33,19.72
2013-03-31,5.48,$1.39,3.95
2012-12-31,5.1,$1.51,3.39
2012-09-30,7.91,$1.69,4.68
2012-06-30,7.96,$1.91,4.17
2012-03-31,8.77,$0.39,22.56
2011-12-31,8.6,$0.30,28.5
2011-09-30,6.98,$0.17,42.22
2011-06-30,6.71,0,0.0
2011-03-31,7.41,$1.13,6.54
2010-12-31,7.28,$0.73,9.92
2010-09-30,5.67,$0.38,14.8
2010-06-30,4.74,0,0.0
2010-03-31,5.27,0,0.0
2009-12-31,4.34,0,0.0
