Envoy Medical Price to Free Cash Flow Ratio Historical Data,Envoy Medical Price to Free Cash Flow Ratio Historical Data,Envoy Medical Price to Free Cash Flow Ratio Historical Data,Envoy Medical Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.43,,0.0
2024-09-30,3.25,$-1.65,0.0
2024-06-30,2.36,$-1.28,0.0
2024-03-31,3.92,$-1.41,0.0
2023-12-31,1.81,$-1.42,0.0
2023-09-30,7.02,$-0.78,0.0
2023-06-30,10.24,$-1.48,0.0
2023-03-31,10.05,$-1.12,0.0
2022-12-31,10.02,$-0.89,0.0
2022-09-30,9.82,$-0.74,0.0
2022-06-30,9.8,$-0.26,0.0
2022-03-31,9.77,$-0.38,0.0
