Canterbury Park Holding Price to Free Cash Flow Ratio Historical Data,Canterbury Park Holding Price to Free Cash Flow Ratio Historical Data,Canterbury Park Holding Price to Free Cash Flow Ratio Historical Data,Canterbury Park Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,19.0,,0.0
2024-12-31,20.5,$-1.92,0.0
2024-09-30,19.3,$-0.45,0.0
2024-06-30,21.76,$-0.29,0.0
2024-03-31,23.18,$1.32,17.54
2023-12-31,20.23,$2.43,8.33
2023-09-30,19.59,$2.43,8.06
2023-06-30,22.46,$2.46,9.13
2023-03-31,24.13,$2.04,11.82
2022-12-31,30.57,$1.51,20.27
2022-09-30,21.73,$2.16,10.05
2022-06-30,25.16,$1.91,13.17
2022-03-31,21.84,$2.60,8.39
2021-12-31,16.64,$2.49,6.69
2021-09-30,15.36,$2.09,7.33
2021-06-30,14.12,$2.80,5.03
2021-03-31,13.17,$0.21,61.93
2020-12-31,11.53,$-0.25,0.0
2020-09-30,11.62,$-0.25,0.0
2020-06-30,10.53,$-2.05,0.0
2020-03-31,10.0,$-1.24,0.0
2019-12-31,11.94,$-1.83,0.0
2019-09-30,11.58,$-1.88,0.0
2019-06-30,11.75,$-1.86,0.0
2019-03-31,13.75,$-0.81,0.0
2018-12-31,13.11,$0.18,71.49
2018-09-30,14.3,$0.57,25.04
2018-06-30,13.97,$1.19,11.78
2018-03-31,14.07,$0.72,19.46
2017-12-31,15.02,$1.01,14.85
2017-09-30,11.37,$1.01,11.26
2017-06-30,10.08,$1.74,5.8
2017-03-31,9.61,$0.28,34.46
2016-12-31,9.11,$0.12,73.74
2016-09-30,9.28,$-0.40,0.0
2016-06-30,9.89,$-0.02,0.0
2016-03-31,9.3,$0.20,45.68
2015-12-31,9.21,$-0.02,0.0
2015-09-30,8.73,$-0.36,0.0
2015-06-30,9.43,$-0.69,0.0
2015-03-31,9.09,$-0.41,0.0
2014-12-31,8.37,$-0.25,0.0
2014-09-30,9.17,$0.49,18.73
2014-06-30,9.04,$0.66,13.61
2014-03-31,10.08,$-0.06,0.0
2013-12-31,9.25,$-0.18,0.0
2013-09-30,10.18,$-0.09,0.0
2013-06-30,8.83,$0.05,195.76
2013-03-31,8.99,$0.40,22.37
2012-12-31,8.63,$0.70,12.25
2012-09-30,8.89,$0.84,10.6
2012-06-30,9.74,$0.21,46.71
2012-03-31,8.71,$0.76,11.48
2011-12-31,11.38,$0.63,18.16
2011-09-30,8.1,$0.72,11.27
2011-06-30,12.6,$0.75,16.72
2011-03-31,10.51,$0.27,38.6
2010-12-31,9.97,$-0.01,0.0
2010-09-30,6.65,$-0.39,0.0
2010-06-30,6.71,$-0.33,0.0
2010-03-31,6.21,$0.28,21.86
2009-12-31,6.2,$0.18,34.16
