Aptevo Therapeutics Price to Free Cash Flow Ratio Historical Data,Aptevo Therapeutics Price to Free Cash Flow Ratio Historical Data,Aptevo Therapeutics Price to Free Cash Flow Ratio Historical Data,Aptevo Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.47,,0.0
2024-12-31,4.31,$-86.13,0.0
2024-09-30,6.65,$-802.26,0.0
2024-06-30,11.32,"$-1,634.26",0.0
2024-03-31,173.53,"$-2,948.36",0.0
2023-12-31,294.67,"$-1,560.88",0.0
2023-09-30,537.24,"$-2,667.00",0.0
2023-06-30,2376.88,"$-4,033.29",0.0
2023-03-31,3312.98,"$-3,893.45",0.0
2022-12-31,3776.96,"$-6,584.34",0.0
2022-09-30,4949.12,"$-6,360.23",0.0
2022-06-30,5828.24,"$-5,610.94",0.0
2022-03-31,9556.36,"$-6,498.07",0.0
2021-12-31,12812.36,"$-7,623.78",0.0
2021-09-30,25136.32,"$-8,391.34",0.0
2021-06-30,36516.04,"$-10,659.14",0.0
2021-03-31,49686.56,"$-11,166.72",0.0
2020-12-31,59666.2,"$-13,841.18",0.0
2020-09-30,12372.8,"$7,053.82",1.75
2020-06-30,13593.8,"$6,991.27",1.94
2020-03-31,6023.6,"$-5,460.17",0.0
2019-12-31,14917.36,$-14.60,0.0
2019-09-30,13410.81,"$-18,520.03",0.0
2019-06-30,20205.11,"$-14,811.05",0.0
2019-03-31,20512.8,$-10.44,0.0
2018-12-31,28945.84,$-2.33,0.0
2018-09-30,115783.35,$-2.75,0.0
2018-06-30,113732.07,$-2.30,0.0
2018-03-31,74529.83,$-2.19,0.0
2017-12-31,96638.07,$-2.02,0.0
2017-09-30,52193.67,$-1.62,0.0
2017-06-30,47179.44,$-3.15,0.0
