Profound Medical Price to Free Cash Flow Ratio Historical Data,Profound Medical Price to Free Cash Flow Ratio Historical Data,Profound Medical Price to Free Cash Flow Ratio Historical Data,Profound Medical Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.94,,0.0
2024-12-31,7.51,$-0.95,0.0
2024-09-30,7.96,$-1.08,0.0
2024-06-30,8.39,$-1.02,0.0
2024-03-31,8.53,$-1.00,0.0
2023-12-31,8.49,$-1.07,0.0
2023-09-30,10.2,$-1.04,0.0
2023-06-30,13.01,$-1.11,0.0
2023-03-31,9.29,$-1.14,0.0
2022-12-31,10.89,$-1.24,0.0
2022-09-30,4.04,$-1.16,0.0
2022-06-30,7.29,$-1.13,0.0
2022-03-31,9.0,$-1.16,0.0
2021-12-31,11.23,$-1.09,0.0
2021-09-30,14.64,$-1.34,0.0
2021-06-30,16.36,$-1.25,0.0
2021-03-31,20.14,$-1.01,0.0
2020-12-31,20.56,$-1.19,0.0
2020-09-30,17.64,$-1.96,0.0
