Hudson Technologies Price to Free Cash Flow Ratio Historical Data,Hudson Technologies Price to Free Cash Flow Ratio Historical Data,Hudson Technologies Price to Free Cash Flow Ratio Historical Data,Hudson Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.03,,3.28
2024-12-31,5.58,$1.84,3.04
2024-09-30,8.34,$1.72,4.86
2024-06-30,8.79,$1.55,5.67
2024-03-31,11.01,$0.90,12.17
2023-12-31,13.49,$1.16,11.62
2023-09-30,13.3,$0.89,14.9
2023-06-30,9.62,$0.99,9.75
2023-03-31,8.73,$1.36,6.4
2022-12-31,10.12,$1.26,8.06
2022-09-30,7.35,$1.01,7.27
2022-06-30,7.51,$0.82,9.11
2022-03-31,6.21,$0.16,38.43
2021-12-31,4.44,$-0.07,0.0
2021-09-30,3.53,$-0.04,0.0
2021-06-30,3.4,$0.00,0.0
2021-03-31,1.61,$0.21,7.79
2020-12-31,1.09,$0.24,4.56
2020-09-30,1.15,$0.54,2.15
2020-06-30,1.01,$0.90,1.13
2020-03-31,0.69,$0.73,0.95
2019-12-31,0.98,$0.77,1.27
2019-09-30,0.71,$0.69,1.03
2019-06-30,0.86,$0.56,1.53
2019-03-31,1.93,$0.56,3.43
2018-12-31,0.89,$0.83,1.07
2018-09-30,1.28,$0.95,1.34
2018-06-30,2.01,$0.59,3.4
2018-03-31,4.94,$0.47,10.43
2017-12-31,6.07,$0.41,14.97
2017-09-30,7.81,$0.29,27.08
2017-06-30,8.45,$0.35,23.96
2017-03-31,6.6,$0.54,12.25
2016-12-31,8.01,$0.22,37.26
2016-09-30,6.65,$0.03,209.12
2016-06-30,3.6,$-0.44,0.0
2016-03-31,3.28,$-0.48,0.0
2015-12-31,2.97,$-0.34,0.0
2015-09-30,2.97,$-0.28,0.0
2015-06-30,3.49,$-0.17,0.0
2015-03-31,4.17,$-0.10,0.0
2014-12-31,3.77,$0.03,111.54
2014-09-30,3.31,$0.10,33.71
2014-06-30,2.89,$0.42,6.81
2014-03-31,2.8,$0.11,25.23
2013-12-31,3.7,$-0.28,0.0
2013-09-30,2.03,$-0.36,0.0
2013-06-30,3.19,$-0.78,0.0
2013-03-31,4.05,$-0.59,0.0
2012-12-31,3.64,$-0.40,0.0
2012-09-30,3.63,$-0.45,0.0
2012-06-30,4.12,$-0.02,0.0
2012-03-31,3.29,$0.12,26.99
2011-12-31,1.45,$-0.01,0.0
2011-09-30,1.17,$0.12,9.91
2011-06-30,1.64,$-0.10,0.0
2011-03-31,1.95,$-0.08,0.0
2010-12-31,1.64,$0.11,15.36
2010-09-30,1.68,$0.13,12.7
2010-06-30,2.04,$0.29,6.95
2010-03-31,2.6,$0.31,8.43
2009-12-31,1.46,$0.16,9.27
