Payoneer Global Price to Free Cash Flow Ratio Historical Data,Payoneer Global Price to Free Cash Flow Ratio Historical Data,Payoneer Global Price to Free Cash Flow Ratio Historical Data,Payoneer Global Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.56,,25.06
2024-12-31,10.04,$0.30,33.28
2024-09-30,7.53,$0.33,22.89
2024-06-30,5.54,$0.31,18.13
2024-03-31,4.86,$0.36,13.45
2023-12-31,5.21,$0.28,18.31
2023-09-30,6.12,$0.27,22.76
2023-06-30,4.81,$0.23,20.94
2023-03-31,6.28,$0.16,40.33
2022-12-31,5.47,$0.16,34.53
2022-09-30,6.05,$0.08,75.63
2022-06-30,3.92,$-0.08,0.0
2022-03-31,4.46,$-0.02,0.0
