Joby Aviation Price to Free Cash Flow Ratio Historical Data,Joby Aviation Price to Free Cash Flow Ratio Historical Data,Joby Aviation Price to Free Cash Flow Ratio Historical Data,Joby Aviation Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.33,,0.0
2024-12-31,8.13,$-0.68,0.0
2024-09-30,5.03,$-0.66,0.0
2024-06-30,5.1,$-0.59,0.0
2024-03-31,5.36,$-0.55,0.0
2023-12-31,6.65,$-0.53,0.0
2023-09-30,6.45,$-0.51,0.0
2023-06-30,10.26,$-0.53,0.0
2023-03-31,4.34,$-0.52,0.0
2022-12-31,3.35,$-0.50,0.0
2022-09-30,4.33,$-0.69,0.0
2022-06-30,4.91,$-0.18,0.0
2022-03-31,6.62,$-0.59,0.0
2021-12-31,7.3,$-0.77,0.0
2021-09-30,10.06,$-0.44,0.0
