5E Advanced Materials Price to Free Cash Flow Ratio Historical Data,5E Advanced Materials Price to Free Cash Flow Ratio Historical Data,5E Advanced Materials Price to Free Cash Flow Ratio Historical Data,5E Advanced Materials Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.2,,0.0
2024-12-31,0.64,$-9.63,0.0
2024-09-30,0.54,$-12.92,0.0
2024-06-30,1.21,$-14.94,0.0
2024-03-31,1.34,$-18.95,0.0
2023-12-31,1.41,$-29.71,0.0
2023-09-30,2.26,$-35.49,0.0
2023-06-30,3.28,$-37.20,0.0
2023-03-31,5.42,$-35.49,0.0
2022-12-31,7.88,$-39.60,0.0
