Energy Transfer LP Price to Free Cash Flow Ratio Historical Data,Energy Transfer LP Price to Free Cash Flow Ratio Historical Data,Energy Transfer LP Price to Free Cash Flow Ratio Historical Data,Energy Transfer LP Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,18.85,,7.72
2024-12-31,19.59,$2.44,8.02
2024-09-30,15.76,$2.28,6.91
2024-06-30,15.6,$2.30,6.77
2024-03-31,14.84,$2.11,7.04
2023-12-31,12.73,$2.03,6.26
2023-09-30,12.64,$2.03,6.24
2023-06-30,11.17,$2.13,5.25
2023-03-31,10.7,$2.14,5.01
2022-12-31,9.95,$1.86,5.36
2022-09-30,9.05,$2.01,4.49
2022-06-30,8.02,$2.01,3.99
2022-03-31,8.84,$1.94,4.57
2021-12-31,6.39,$3.06,2.09
2021-09-30,7.32,$3.02,2.42
2021-06-30,7.99,$2.84,2.82
2021-03-31,5.68,$2.40,2.37
2020-12-31,4.47,$0.83,5.4
2020-09-30,3.81,$0.65,5.87
2020-06-30,4.79,$0.49,9.83
2020-03-31,2.97,$0.62,4.81
2019-12-31,8.1,$0.79,10.19
2019-09-30,8.06,$0.61,13.28
2019-06-30,8.48,$0.80,10.64
2019-03-31,9.08,$-0.03,0.0
2018-12-31,7.64,$0.07,112.85
2018-09-30,9.89,$-1.02,0.0
2018-06-30,9.63,$-2.59,0.0
2018-03-31,7.79,$-2.58,0.0
2017-12-31,9.3,$-3.49,0.0
2017-09-30,9.21,$-2.36,0.0
2017-06-30,9.37,$-2.41,0.0
2017-03-31,10.13,$-3.04,0.0
2016-12-31,9.76,$-3.39,0.0
2016-09-30,8.32,$-4.80,0.0
2016-06-30,7.0,$-5.09,0.0
2016-03-31,3.39,$-5.18,0.0
2015-12-31,6.31,$-5.73,0.0
2015-09-30,9.43,$-5.16,0.0
2015-06-30,14.41,$-4.59,0.0
2015-03-31,14.12,$-3.33,0.0
2014-12-31,12.69,$-1.97,0.0
2014-09-30,13.54,$-1.47,0.0
2014-06-30,12.85,$-0.81,0.0
2014-03-31,10.12,$-0.61,0.0
2013-12-31,8.77,$-0.89,0.0
2013-09-30,6.99,$-1.37,0.0
2013-06-30,6.29,$-1.56,0.0
2013-03-31,6.08,$-1.84,0.0
2012-12-31,4.67,$-2.01,0.0
2012-09-30,4.58,$-1.49,0.0
2012-06-30,4.09,$-1.09,0.0
2012-03-31,3.96,$-1.08,0.0
2011-12-31,3.93,$-0.45,0.0
2011-09-30,3.31,$-0.36,0.0
2011-06-30,4.22,$-0.66,0.0
2011-03-31,4.17,$-0.67,0.0
2010-12-31,3.57,$-0.36,0.0
2010-09-30,3.34,$-0.17,0.0
2010-06-30,3.0,$0.04,83.21
2010-03-31,2.95,$0.22,13.1
2009-12-31,2.63,$-0.00,0.0
