Shattuck Labs Price to Free Cash Flow Ratio Historical Data,Shattuck Labs Price to Free Cash Flow Ratio Historical Data,Shattuck Labs Price to Free Cash Flow Ratio Historical Data,Shattuck Labs Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.16,,0.0
2024-09-30,3.49,$-1.30,0.0
2024-06-30,3.86,$-1.38,0.0
2024-03-31,8.94,$-1.61,0.0
2023-12-31,7.13,$-1.92,0.0
2023-09-30,1.52,$-2.04,0.0
2023-06-30,3.12,$-2.33,0.0
2023-03-31,2.94,$-2.45,0.0
2022-12-31,2.3,$-2.50,0.0
2022-09-30,2.7,$-2.42,0.0
2022-06-30,4.06,$-2.07,0.0
2022-03-31,4.26,$-1.90,0.0
2021-12-31,8.51,$-1.55,0.0
2021-09-30,20.38,$-3.27,0.0
