ONESPAN INC Price to Free Cash Flow Ratio Historical Data,ONESPAN INC Price to Free Cash Flow Ratio Historical Data,ONESPAN INC Price to Free Cash Flow Ratio Historical Data,ONESPAN INC Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,15.79,,13.29
2024-12-31,18.54,$1.19,15.61
2024-09-30,16.67,$0.90,18.54
2024-06-30,12.82,$0.35,36.12
2024-03-31,11.63,$-0.21,0.0
2023-12-31,10.72,$-0.58,0.0
2023-09-30,10.75,$-0.42,0.0
2023-06-30,14.84,$-0.28,0.0
2023-03-31,17.5,$-0.10,0.0
2022-12-31,11.19,$-0.27,0.0
2022-09-30,8.61,$-0.38,0.0
2022-06-30,11.9,$-0.43,0.0
2022-03-31,14.44,$-0.11,0.0
2021-12-31,16.93,$-0.12,0.0
2021-09-30,18.78,$0.03,692.99
2021-06-30,25.54,$0.24,106.68
2021-03-31,24.5,$0.46,53.04
2020-12-31,20.68,$0.30,70.03
2020-09-30,20.96,$0.83,25.2
2020-06-30,27.93,$0.92,30.42
2020-03-31,18.15,$0.27,67.05
2019-12-31,17.12,$0.27,63.67
2019-09-30,14.5,$-0.19,0.0
2019-06-30,14.17,$-0.56,0.0
2019-03-31,19.22,$-0.34,0.0
2018-12-31,12.95,$-0.06,0.0
2018-09-30,19.05,$-0.30,0.0
2018-06-30,19.65,$-0.01,0.0
2018-03-31,12.95,$0.51,25.19
2017-12-31,13.9,$0.37,38.05
2017-09-30,12.05,$0.43,27.82
2017-06-30,14.35,$0.62,23.3
2017-03-31,13.5,$0.65,20.72
2016-12-31,13.65,$0.66,20.59
2016-09-30,17.61,$1.09,16.15
2016-06-30,16.39,$1.55,10.6
2016-03-31,15.4,$1.44,10.67
2015-12-31,16.73,$1.70,9.86
2015-09-30,17.04,$1.40,12.2
2015-06-30,30.19,$0.76,39.53
2015-03-31,21.54,$0.97,22.26
2014-12-31,28.21,$0.94,29.87
2014-09-30,18.78,$0.82,23.02
2014-06-30,11.6,$0.87,13.38
2014-03-31,7.54,$0.51,14.76
2013-12-31,7.73,$0.24,32.25
2013-09-30,7.89,$0.39,20.03
2013-06-30,8.31,$0.54,15.42
2013-03-31,8.44,$0.37,23.05
2012-12-31,8.16,$0.56,14.55
2012-09-30,9.38,$0.56,16.71
2012-06-30,8.18,$0.19,42.52
2012-03-31,10.79,$0.35,31.23
2011-12-31,6.52,$0.44,14.98
2011-09-30,5.11,$0.18,28.71
2011-06-30,12.45,$0.45,27.59
2011-03-31,13.73,$0.54,25.63
2010-12-31,8.13,$0.51,15.81
2010-09-30,6.5,$0.47,13.73
2010-06-30,6.17,$0.38,16.27
2010-03-31,8.25,$0.52,15.82
2009-12-31,6.28,$0.28,22.44
