Capital One Financial Price to Free Cash Flow Ratio Historical Data,Capital One Financial Price to Free Cash Flow Ratio Historical Data,Capital One Financial Price to Free Cash Flow Ratio Historical Data,Capital One Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,174.47,,3.95
2024-12-31,178.32,$44.20,4.03
2024-09-30,149.24,$56.57,2.64
2024-06-30,137.37,$58.47,2.35
2024-03-31,147.11,$51.18,2.87
2023-12-31,128.98,$51.16,2.52
2023-09-30,94.92,$53.05,1.79
2023-06-30,106.41,$41.89,2.54
2023-03-31,92.91,$40.68,2.28
2022-12-31,89.38,$32.74,2.73
2022-09-30,88.15,$22.94,3.84
2022-06-30,99.09,$20.55,4.82
2022-03-31,124.22,$22.22,5.59
2021-12-31,136.75,$26.14,5.23
2021-09-30,152.08,$25.91,5.87
2021-06-30,144.2,$27.25,5.29
2021-03-31,118.31,$26.53,4.46
2020-12-31,91.61,$34.84,2.63
2020-09-30,66.51,$33.47,1.99
2020-06-30,57.84,$34.53,1.67
2020-03-31,46.3,$35.04,1.32
2019-12-31,94.13,$33.52,2.81
2019-09-30,82.88,$32.85,2.52
2019-06-30,82.29,$32.70,2.52
2019-03-31,73.76,$32.16,2.29
2018-12-31,67.9,$25.05,2.71
2018-09-30,84.9,$25.30,3.36
2018-06-30,81.85,$24.31,3.37
2018-03-31,84.98,$23.77,3.57
2017-12-31,87.93,$26.94,3.26
2017-09-30,74.41,$22.29,3.34
2017-06-30,72.28,$23.04,3.14
2017-03-31,75.44,$20.24,3.73
2016-12-31,75.6,$21.73,3.48
2016-09-30,61.92,$20.27,3.06
2016-06-30,54.42,$22.14,2.46
2016-03-31,59.05,$21.72,2.72
2015-12-31,61.09,$17.51,3.49
2015-09-30,61.07,$18.27,3.34
2015-06-30,73.72,$14.77,4.99
2015-03-31,65.73,$13.47,4.88
2014-12-31,68.57,$15.39,4.46
2014-09-30,67.55,$15.22,4.44
2014-06-30,68.1,$16.09,4.23
2014-03-31,63.36,$17.18,3.69
2013-12-31,62.64,$15.60,4.02
2013-09-30,55.96,$14.22,3.94
2013-06-30,50.92,$16.96,3.0
2013-03-31,44.32,$16.19,2.74
2012-12-31,46.68,$15.82,2.95
2012-09-30,45.9,$18.10,2.54
2012-06-30,43.97,$12.92,3.4
2012-03-31,44.8,$14.91,3.0
2011-12-31,33.95,$15.55,2.18
2011-09-30,31.78,$12.33,2.58
2011-06-30,41.38,$15.98,2.59
2011-03-31,41.58,$16.74,2.48
2010-12-31,34.02,$17.11,1.99
2010-09-30,31.58,$15.44,2.05
2010-06-30,32.14,$8.14,3.95
2010-03-31,32.98,$5.04,6.55
2009-12-31,30.49,$4.27,7.15
