Abbott Laboratories Price to Free Cash Flow Ratio Historical Data,Abbott Laboratories Price to Free Cash Flow Ratio Historical Data,Abbott Laboratories Price to Free Cash Flow Ratio Historical Data,Abbott Laboratories Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,126.78,,34.89
2024-12-31,113.11,$3.63,31.13
2024-09-30,113.47,$3.71,30.59
2024-06-30,102.87,$3.23,31.83
2024-03-31,111.96,$2.82,39.77
2023-12-31,107.9,$2.89,37.3
2023-09-30,94.41,$2.56,36.88
2023-06-30,105.77,$3.12,33.91
2023-03-31,97.76,$3.88,25.22
2022-12-31,105.51,$4.42,23.85
2022-09-30,92.56,$4.82,19.19
2022-06-30,103.48,$4.77,21.71
2022-03-31,112.28,$4.57,24.59
2021-12-31,133.03,$4.83,27.52
2021-09-30,111.24,$5.21,21.35
2021-06-30,108.75,$4.83,22.51
2021-03-31,112.0,$4.26,26.32
2020-12-31,101.91,$3.20,31.8
2020-09-30,100.96,$2.57,39.25
2020-06-30,84.5,$2.56,32.99
2020-03-31,72.63,$2.51,28.91
2019-12-31,79.62,$2.53,31.52
2019-09-30,76.38,$2.15,35.6
2019-06-30,76.49,$2.31,33.11
2019-03-31,72.4,$2.51,28.82
2018-12-31,65.21,$2.77,23.53
2018-09-30,65.87,$2.78,23.68
2018-06-30,54.52,$2.74,19.88
2018-03-31,53.31,$2.83,18.81
2017-12-31,50.53,$2.54,19.93
2017-09-30,47.02,$2.36,19.92
2017-06-30,42.6,$1.98,21.48
2017-03-31,38.69,$1.80,21.44
2016-12-31,33.24,$1.40,23.68
2016-09-30,36.37,$1.22,29.85
2016-06-30,33.6,$1.13,29.85
2016-03-31,35.54,$1.16,30.65
2015-12-31,37.91,$1.23,30.76
2015-09-30,33.76,$1.47,23.04
2015-06-30,40.99,$1.55,26.42
2015-03-31,38.5,$1.50,25.75
2014-12-31,37.21,$1.70,21.87
2014-09-30,34.19,$1.92,17.8
2014-06-30,33.45,$1.47,22.71
2014-03-31,31.31,$1.32,23.73
2013-12-31,30.99,$1.38,22.38
2013-09-30,26.72,$1.25,21.3
2013-06-30,27.97,$2.96,9.44
2013-03-31,28.22,$3.73,7.57
2012-12-31,25.04,$4.72,5.3
2012-09-30,26.12,$4.71,5.55
2012-06-30,24.47,$4.50,5.44
2012-03-31,23.17,$4.82,4.81
2011-12-31,21.17,$4.74,4.46
2011-09-30,19.16,$5.35,3.58
2011-06-30,19.63,$5.20,3.78
2011-03-31,18.22,$5.18,3.52
2010-12-31,17.72,$4.96,3.57
2010-09-30,19.24,$4.68,4.11
2010-06-30,17.15,$4.91,3.49
2010-03-31,19.24,$4.51,4.27
2009-12-31,19.65,$3.98,4.94
