Qudian Price to Free Cash Flow Ratio Historical Data,Qudian Price to Free Cash Flow Ratio Historical Data,Qudian Price to Free Cash Flow Ratio Historical Data,Qudian Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.89,,0.0
2024-09-30,2.13,$-0.13,0.0
2024-06-30,1.98,$-0.13,0.0
2024-03-31,2.5,$-0.13,0.0
2023-12-31,2.04,$-0.13,0.0
2023-09-30,2.12,$-0.00,0.0
2023-06-30,2.0,$-0.00,0.0
2023-03-31,1.2,$-0.00,0.0
2022-12-31,0.95,$-0.00,0.0
2022-09-30,0.9,$0.26,3.44
2022-06-30,1.1,$0.26,4.21
2022-03-31,1.18,$0.26,4.51
2021-12-31,0.97,$0.26,3.71
2021-09-30,1.46,$1.26,1.16
2021-06-30,2.41,$1.26,1.92
2021-03-31,2.28,$1.26,1.81
2020-12-31,1.38,$1.26,1.1
2020-09-30,1.24,$2.59,0.48
2020-06-30,1.7,$2.59,0.66
2020-03-31,1.8,$2.00,0.9
2019-12-31,4.71,$2.59,1.82
2019-09-30,6.89,$1.44,4.78
2019-06-30,7.5,$1.44,5.2
2019-03-31,5.06,$1.80,2.81
2018-12-31,4.29,$1.44,2.98
