Cross Timbers Royalty Trust Price to Free Cash Flow Ratio Historical Data,Cross Timbers Royalty Trust Price to Free Cash Flow Ratio Historical Data,Cross Timbers Royalty Trust Price to Free Cash Flow Ratio Historical Data,Cross Timbers Royalty Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,11.11,,inf
2024-09-30,10.41,0.0,0.0
2024-06-30,10.38,0.0,0.0
2024-03-31,12.38,0.0,0.0
2023-12-31,16.44,0.0,0.0
2023-09-30,17.84,0.0,0.0
2023-06-30,19.77,0.0,0.0
2023-03-31,16.39,0.0,0.0
2022-12-31,21.69,0.0,0.0
2022-09-30,16.13,0.0,0.0
2022-06-30,12.29,0.0,0.0
2022-03-31,10.25,0.0,0.0
2021-12-31,8.79,0.0,0.0
2021-09-30,10.52,0.0,0.0
2021-06-30,8.61,0.0,0.0
2021-03-31,6.0,0.0,0.0
2020-12-31,5.73,0.0,0.0
2020-09-30,3.73,0.0,0.0
2020-06-30,4.92,0.0,0.0
2020-03-31,3.69,0.0,0.0
2019-12-31,5.43,0.0,0.0
2019-09-30,5.11,0.0,0.0
2019-06-30,7.53,0.0,0.0
2019-03-31,6.66,0.0,0.0
2018-12-31,6.25,0.0,0.0
2018-09-30,8.31,0.0,0.0
2018-06-30,7.97,0.0,0.0
2018-03-31,7.82,0.0,0.0
2017-12-31,7.69,0.0,0.0
2017-09-30,7.51,0.0,0.0
2017-06-30,7.75,0.0,0.0
2017-03-31,7.29,0.0,0.0
2016-12-31,8.82,0.0,0.0
2016-09-30,8.79,0.0,0.0
2016-06-30,8.63,0.0,0.0
2016-03-31,7.19,0.0,0.0
2015-12-31,5.98,0.0,0.0
2015-09-30,6.95,0.0,0.0
2015-06-30,7.27,0.0,0.0
2015-03-31,8.32,0.0,0.0
2014-12-31,7.36,0.0,0.0
2014-09-30,13.18,0.0,0.0
2014-06-30,13.4,0.0,0.0
2014-03-31,12.38,0.0,0.0
2013-12-31,11.43,0.0,0.0
2013-09-30,11.14,0.0,0.0
2013-06-30,10.05,0.0,0.0
2013-03-31,10.65,0.0,0.0
2012-12-31,9.66,0.0,0.0
2012-09-30,11.02,0.0,0.0
2012-06-30,12.09,0.0,0.0
2012-03-31,14.34,0.0,0.0
2011-12-31,16.35,0.0,0.0
2011-09-30,14.71,0.0,0.0
2011-06-30,14.48,0.0,0.0
2011-03-31,15.03,0.0,0.0
2010-12-31,12.5,0.0,0.0
2010-09-30,10.98,0.0,0.0
2010-06-30,10.5,0.0,0.0
2010-03-31,9.47,0.0,0.0
2009-12-31,9.77,0.0,0.0
