Advanced Drainage Systems Price to Free Cash Flow Ratio Historical Data,Advanced Drainage Systems Price to Free Cash Flow Ratio Historical Data,Advanced Drainage Systems Price to Free Cash Flow Ratio Historical Data,Advanced Drainage Systems Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,109.66,,26.64
2024-12-31,115.6,$4.12,28.09
2024-09-30,156.97,$4.81,32.62
2024-06-30,160.04,$5.58,28.68
2024-03-31,171.86,$6.76,25.42
2023-12-31,140.21,$7.49,18.72
2023-09-30,113.35,$7.21,15.72
2023-06-30,113.18,$6.75,16.78
2023-03-31,83.64,$6.49,12.89
2022-12-31,81.31,$6.87,11.83
2022-09-30,123.21,$5.57,22.12
2022-06-30,89.15,$3.18,28.05
2022-03-31,117.47,$1.73,68.08
2021-12-31,134.47,$1.04,129.39
2021-09-30,106.76,$2.02,52.96
2021-06-30,114.94,$4.54,25.34
2021-03-31,101.84,$5.22,19.52
2020-12-31,82.26,$5.59,14.71
2020-09-30,61.38,$4.97,12.34
2020-06-30,48.48,$4.57,10.6
2020-03-31,28.83,$3.74,7.71
2019-12-31,37.96,$3.46,10.97
2019-09-30,31.46,$3.60,8.73
2019-06-30,31.88,$2.75,11.59
2019-03-31,24.14,$1.88,12.84
2018-12-31,22.64,$1.78,12.75
2018-09-30,28.85,$2.34,12.3
2018-06-30,26.59,$2.36,11.26
2018-03-31,24.06,$1.69,14.2
2017-12-31,22.09,$1.52,14.56
2017-09-30,18.7,$0.58,32.13
2017-06-30,18.5,$0.57,32.57
2017-03-31,20.08,$0.95,21.1
2016-12-31,18.84,$1.25,15.1
2016-09-30,21.94,$2.12,10.37
2016-06-30,24.89,$1.95,12.79
2016-03-31,19.33,$1.64,11.8
2015-12-31,21.75,$1.30,16.71
2015-09-30,26.14,$0.76,34.38
2015-06-30,26.45,$0.28,93.08
