Columbia Sportswear Price to Free Cash Flow Ratio Historical Data,Columbia Sportswear Price to Free Cash Flow Ratio Historical Data,Columbia Sportswear Price to Free Cash Flow Ratio Historical Data,Columbia Sportswear Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,76.36,,10.36
2024-12-31,83.93,$7.37,11.39
2024-09-30,82.88,$7.74,10.7
2024-06-30,78.49,$11.05,7.1
2024-03-31,80.29,$9.98,8.05
2023-12-31,78.37,$9.47,8.28
2023-09-30,72.73,$4.31,16.86
2023-06-30,75.51,$0.72,105.16
2023-03-31,87.88,$0.42,210.28
2022-12-31,84.99,$-1.33,0.0
2022-09-30,65.07,$-0.60,0.0
2022-06-30,68.94,$0.98,70.0
2022-03-31,86.85,$2.49,34.87
2021-12-31,93.16,$4.81,19.35
2021-09-30,91.4,$6.51,14.03
2021-06-30,93.57,$6.15,15.21
2021-03-31,100.23,$5.25,19.08
2020-12-31,82.71,$3.70,22.33
2020-09-30,82.33,$3.45,23.86
2020-06-30,76.27,$2.19,34.88
2020-03-31,66.04,$1.93,34.24
2019-12-31,94.5,$2.36,39.97
2019-09-30,91.14,$0.78,117.2
2019-06-30,93.98,$1.49,62.96
2019-03-31,97.51,$2.75,35.5
2018-12-31,78.52,$3.18,24.68
2018-09-30,86.68,$2.82,30.74
2018-06-30,84.98,$3.17,26.84
2018-03-31,70.83,$3.91,18.1
2017-12-31,66.42,$4.09,16.24
2017-09-30,56.73,$4.13,13.73
2017-06-30,53.32,$3.95,13.49
2017-03-31,53.78,$3.05,17.64
2016-12-31,53.19,$3.19,16.68
2016-09-30,51.61,$2.28,22.67
2016-06-30,52.18,$1.56,33.46
2016-03-31,54.32,$1.40,38.7
2015-12-31,43.95,$0.36,123.29
2015-09-30,52.81,$0.28,185.81
2015-06-30,54.19,$1.17,46.14
2015-03-31,54.44,$1.60,34.06
2014-12-31,39.71,$1.78,22.35
2014-09-30,31.78,$1.18,26.93
2014-06-30,36.57,$1.98,18.49
2014-03-31,36.45,$2.58,14.15
2013-12-31,34.62,$2.95,11.73
2013-09-30,26.38,$3.27,8.07
2013-06-30,27.34,$3.10,8.82
2013-03-31,25.17,$2.13,11.79
2012-12-31,23.11,$1.54,14.98
2012-09-30,23.24,$0.36,64.83
2012-06-30,23.03,$-0.10,0.0
2012-03-31,20.28,$-0.46,0.0
2011-12-31,19.81,$-0.21,0.0
2011-09-30,19.66,$-0.85,0.0
2011-06-30,26.75,$-0.26,0.0
2011-03-31,24.99,$0.12,213.24
2010-12-31,25.28,$-0.08,0.0
2010-09-30,23.75,$1.13,20.93
2010-06-30,18.9,$1.61,11.73
2010-03-31,21.2,$2.08,10.18
2009-12-31,15.69,$2.67,5.88
