Nuwellis Price to Free Cash Flow Ratio Historical Data,Nuwellis Price to Free Cash Flow Ratio Historical Data,Nuwellis Price to Free Cash Flow Ratio Historical Data,Nuwellis Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.13,,0.0
2024-12-31,1.11,$-7.27,0.0
2024-09-30,1.19,$-39.73,0.0
2024-06-30,5.03,$-35.09,0.0
2024-03-31,12.44,$-148.31,0.0
2023-12-31,20.33,$-322.24,0.0
2023-09-30,50.05,$680.43,0.07
2023-06-30,94.15,$-423.95,0.0
2023-03-31,170.1,"$-1,627.99",0.0
2022-12-31,375.2,"$-3,068.68",0.0
2022-09-30,1887.55,"$2,537.19",0.74
2022-06-30,2061.15,"$-3,206.32",0.0
2022-03-31,3535.0,"$-1,891.05",0.0
2021-12-31,3990.0,$-262.03,0.0
2021-09-30,7700.0,"$-6,840.54",0.0
2021-06-30,14700.0,$-4.66,0.0
2021-03-31,20685.0,$-1.83,0.0
2020-12-31,24395.0,$-10.22,0.0
2020-09-30,30607.5,$-69.24,0.0
2020-06-30,50274.0,$-211.38,0.0
2020-03-31,46200.0,$-212.24,0.0
2019-12-31,90425.99,$-208.32,0.0
2019-09-30,157499.99,$-158.05,0.0
2019-06-30,305549.98,$-13.68,0.0
2019-03-31,431549.97,$-24.99,0.0
2018-12-31,717653.92,$-36.53,0.0
2018-09-30,1734599.8,$-263.48,0.0
2018-06-30,2704799.69,$-265.11,0.0
2018-03-31,4101299.53,$-250.98,0.0
2017-12-31,5086199.42,$-253.73,0.0
2017-09-30,17231338.02,$-97.25,0.0
2017-06-30,30281996.52,$-497.70,0.0
2017-03-31,53507993.85,$-508.35,0.0
2016-12-31,100000000.0,$-497.24,0.0
2016-09-30,100000000.0,$-451.72,0.0
2016-06-30,100000000.0,$-52.64,0.0
2016-03-31,100000000.0,$-47.30,0.0
2015-12-31,100000000.0,$-38.39,0.0
2015-09-30,100000000.0,$-1.33,0.0
2015-06-30,100000000.0,$-1.35,0.0
2015-03-31,100000000.0,$-1.37,0.0
2014-12-31,100000000.0,$-1.36,0.0
2014-09-30,100000000.0,$-1.50,0.0
2014-06-30,100000000.0,$-1.46,0.0
2014-03-31,100000000.0,$-1.35,0.0
2013-12-31,100000000.0,$-1.39,0.0
2013-09-30,100000000.0,$-1.54,0.0
2013-06-30,100000000.0,$-1.40,0.0
2013-03-31,100000000.0,$-1.52,0.0
2012-12-31,100000000.0,$-1.87,0.0
