Sensus Healthcare Price to Free Cash Flow Ratio Historical Data,Sensus Healthcare Price to Free Cash Flow Ratio Historical Data,Sensus Healthcare Price to Free Cash Flow Ratio Historical Data,Sensus Healthcare Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.74,,0.0
2024-12-31,6.92,$-0.07,0.0
2024-09-30,5.8,$0.13,45.1
2024-06-30,5.33,$-0.06,0.0
2024-03-31,3.8,$-0.28,0.0
2023-12-31,2.36,$-0.14,0.0
2023-09-30,2.77,$-0.92,0.0
2023-06-30,3.15,$-0.72,0.0
2023-03-31,5.21,$-0.66,0.0
2022-12-31,7.42,$0.81,9.18
2022-09-30,12.53,$1.31,9.57
2022-06-30,7.68,$1.16,6.61
2022-03-31,10.12,$1.15,8.82
2021-12-31,7.22,$-0.01,0.0
2021-09-30,3.6,$0.07,49.72
2021-06-30,3.85,$-0.17,0.0
2021-03-31,3.83,$-0.14,0.0
2020-12-31,3.86,$-0.05,0.0
2020-09-30,2.52,$0.02,163.64
2020-06-30,3.06,$0.06,47.66
2020-03-31,2.5,$0.31,8.18
2019-12-31,3.54,$-0.15,0.0
2019-09-30,6.0,$-0.30,0.0
2019-06-30,5.54,$-0.35,0.0
2019-03-31,7.02,$-0.83,0.0
2018-12-31,7.41,$-0.67,0.0
2018-09-30,8.38,$-0.50,0.0
2018-06-30,7.26,$-0.40,0.0
2018-03-31,5.84,$-0.31,0.0
2017-12-31,5.16,$-0.25,0.0
2017-09-30,4.98,$-0.21,0.0
2017-06-30,4.02,$-0.33,0.0
