Tetra Technologies Price to Free Cash Flow Ratio Historical Data,Tetra Technologies Price to Free Cash Flow Ratio Historical Data,Tetra Technologies Price to Free Cash Flow Ratio Historical Data,Tetra Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.41,,0.0
2024-12-31,3.58,$-0.16,0.0
2024-09-30,3.1,$0.04,82.67
2024-06-30,3.46,$0.03,105.81
2024-03-31,4.43,$0.10,44.52
2023-12-31,4.52,$0.30,15.32
2023-09-30,6.38,$0.06,113.73
2023-06-30,3.38,$-0.07,0.0
2023-03-31,2.65,$-0.15,0.0
2022-12-31,3.46,$-0.15,0.0
2022-09-30,3.59,$-0.13,0.0
2022-06-30,4.06,$-0.04,0.0
2022-03-31,4.11,$-0.13,0.0
2021-12-31,2.84,$-0.11,0.0
2021-09-30,3.12,$0.10,30.17
2021-06-30,4.34,$0.27,16.33
2021-03-31,2.4,$0.57,4.2
2020-12-31,0.86,$0.66,1.3
2020-09-30,0.51,$0.52,0.98
2020-06-30,0.53,$0.49,1.09
2020-03-31,0.32,$0.24,1.31
2019-12-31,1.96,$-0.04,0.0
2019-09-30,2.01,$0.06,35.64
2019-06-30,1.63,$-0.27,0.0
2019-03-31,2.34,$-0.43,0.0
2018-12-31,1.68,$-0.75,0.0
2018-09-30,4.51,$-0.79,0.0
2018-06-30,4.45,$-0.38,0.0
2018-03-31,3.75,$-0.17,0.0
2017-12-31,4.27,$0.12,36.19
2017-09-30,2.86,$0.35,8.12
2017-06-30,2.79,$-0.06,0.0
2017-03-31,4.07,$-0.08,0.0
2016-12-31,5.02,$0.43,11.55
2016-09-30,6.11,$0.88,6.96
2016-06-30,6.37,$1.24,5.13
2016-03-31,6.35,$1.58,4.02
2015-12-31,7.52,$1.06,7.13
2015-09-30,5.91,$0.61,9.62
2015-06-30,6.38,$0.19,34.43
2015-03-31,6.18,$-0.44,0.0
2014-12-31,6.68,$-0.07,0.0
2014-09-30,10.82,$-0.62,0.0
2014-06-30,11.78,$-0.47,0.0
2014-03-31,12.8,$-0.35,0.0
2013-12-31,12.36,$-0.63,0.0
2013-09-30,12.53,$0.33,38.12
2013-06-30,10.26,$-0.00,0.0
2013-03-31,10.26,$-0.21,0.0
2012-12-31,7.59,$-0.39,0.0
2012-09-30,6.05,$-1.41,0.0
2012-06-30,7.13,$-1.94,0.0
2012-03-31,9.42,$0.98,9.66
2011-12-31,9.34,$1.41,6.62
2011-09-30,7.72,$1.86,4.14
2011-06-30,12.73,$2.60,4.9
2011-03-31,15.4,$0.22,69.37
2010-12-31,11.87,$0.64,18.49
2010-09-30,10.2,$2.16,4.72
2010-06-30,9.08,$2.05,4.44
2010-03-31,12.22,$2.53,4.83
2009-12-31,11.08,$1.79,6.2
