Cheniere Energy Price to Free Cash Flow Ratio Historical Data,Cheniere Energy Price to Free Cash Flow Ratio Historical Data,Cheniere Energy Price to Free Cash Flow Ratio Historical Data,Cheniere Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,230.23,,16.71
2024-12-31,214.87,$13.78,15.6
2024-09-30,179.4,$13.37,13.42
2024-06-30,173.99,$15.01,11.59
2024-03-31,160.07,$17.47,9.16
2023-12-31,168.97,$25.96,6.51
2023-09-30,163.85,$31.14,5.26
2023-06-30,150.06,$34.32,4.37
2023-03-31,154.81,$35.57,4.35
2022-12-31,146.92,$34.31,4.28
2022-09-30,162.17,$25.76,6.3
2022-06-30,129.74,$18.46,7.03
2022-03-31,134.89,$12.57,10.73
2021-12-31,98.38,$6.20,15.87
2021-09-30,94.45,$5.77,16.37
2021-06-30,83.88,$1.50,56.06
2021-03-31,69.64,$1.05,66.37
2020-12-31,58.05,$-2.27,0.0
2020-09-30,44.75,$-1.56,0.0
2020-06-30,46.73,$-1.65,0.0
2020-03-31,32.4,$-3.85,0.0
2019-12-31,59.06,$-4.74,0.0
2019-09-30,60.98,$-7.68,0.0
2019-06-30,66.19,$-7.40,0.0
2019-03-31,66.11,$-6.20,0.0
2018-12-31,57.24,$-6.67,0.0
2018-09-30,67.2,$-5.32,0.0
2018-06-30,63.04,$-3.54,0.0
2018-03-31,51.69,$-6.07,0.0
2017-12-31,52.07,$-9.12,0.0
2017-09-30,43.56,$-12.98,0.0
2017-06-30,47.1,$-17.29,0.0
2017-03-31,45.71,$-19.53,0.0
2016-12-31,40.06,$-20.80,0.0
2016-09-30,42.16,$-22.28,0.0
2016-06-30,36.31,$-23.33,0.0
2016-03-31,32.72,$-35.27,0.0
2015-12-31,36.02,$-32.33,0.0
2015-09-30,46.71,$-30.99,0.0
2015-06-30,66.98,$-27.95,0.0
2015-03-31,74.85,$-12.91,0.0
2014-12-31,68.08,$-13.78,0.0
2014-09-30,77.39,$-12.59,0.0
2014-06-30,69.34,$-20.47,0.0
2014-03-31,53.53,$-15.80,0.0
2013-12-31,41.7,$-14.47,0.0
2013-09-30,33.01,$-11.29,0.0
2013-06-30,26.85,$-0.14,0.0
2013-03-31,27.08,$-2.29,0.0
2012-12-31,18.16,$-0.59,0.0
2012-09-30,15.02,$-0.57,0.0
2012-06-30,14.25,$-0.70,0.0
2012-03-31,14.49,$-0.35,0.0
2011-12-31,8.4,$-0.56,0.0
2011-09-30,4.98,$-0.59,0.0
2011-06-30,8.86,$-0.54,0.0
2011-03-31,9.0,$-1.11,0.0
2010-12-31,5.34,$-0.30,0.0
2010-09-30,2.44,$-0.32,0.0
2010-06-30,2.73,$-1.53,0.0
2010-03-31,2.99,$-1.36,0.0
2009-12-31,2.34,$-1.90,0.0
