Adient Price to Free Cash Flow Ratio Historical Data,Adient Price to Free Cash Flow Ratio Historical Data,Adient Price to Free Cash Flow Ratio Historical Data,Adient Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,13.86,,3.61
2024-12-31,17.23,$3.84,4.48
2024-09-30,22.57,$3.24,6.96
2024-06-30,24.71,$3.52,7.03
2024-03-31,32.92,$4.04,8.15
2023-12-31,36.36,$4.64,7.83
2023-09-30,36.7,$4.62,7.94
2023-06-30,38.32,$4.14,9.25
2023-03-31,40.96,$2.37,17.28
2022-12-31,34.69,$1.35,25.66
2022-09-30,27.75,$0.71,39.26
2022-06-30,29.63,$-3.00,0.0
2022-03-31,40.77,$-0.91,0.0
2021-12-31,47.88,$-2.15,0.0
2021-09-30,41.45,$0.31,132.22
2021-06-30,45.2,$7.01,6.45
2021-03-31,44.2,$-0.44,0.0
2020-12-31,34.77,$-0.48,0.0
2020-09-30,17.33,$-0.69,0.0
2020-06-30,16.42,$-6.80,0.0
2020-03-31,9.07,$0.69,13.23
2019-12-31,21.25,$3.11,6.83
2019-09-30,22.96,$-0.98,0.0
2019-06-30,24.27,$4.02,6.03
2019-03-31,12.96,$4.89,2.65
2018-12-31,15.06,$2.46,6.11
2018-09-30,38.97,$2.10,18.55
2018-06-30,48.49,$1.53,31.7
2018-03-31,58.67,$-0.66,0.0
2017-12-31,76.99,$1.60,48.19
2017-09-30,81.9,$2.27,36.1
