First Of Long Island Price to Free Cash Flow Ratio Historical Data,First Of Long Island Price to Free Cash Flow Ratio Historical Data,First Of Long Island Price to Free Cash Flow Ratio Historical Data,First Of Long Island Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,12.2,,19.93
2024-12-31,11.68,$0.61,19.08
2024-09-30,12.67,$1.40,9.06
2024-06-30,9.67,$0.94,10.32
2024-03-31,10.7,$-5.34,0.0
2023-12-31,12.53,$1.40,8.98
2023-09-30,10.53,$1.35,7.81
2023-06-30,10.81,$2.01,5.36
2023-03-31,12.14,$8.73,1.39
2022-12-31,15.95,$2.37,6.73
2022-09-30,14.92,$1.92,7.76
2022-06-30,15.0,$1.80,8.34
2022-03-31,16.65,$1.75,9.51
2021-12-31,18.13,$1.81,10.0
2021-09-30,17.13,$2.29,7.49
2021-06-30,17.49,$2.18,8.03
2021-03-31,17.51,$1.94,9.03
2020-12-31,14.42,$1.80,8.01
2020-09-30,11.83,$1.54,7.7
2020-06-30,12.89,$1.62,7.97
2020-03-31,13.68,$1.83,7.5
2019-12-31,19.39,$1.90,10.22
2019-09-30,17.44,$1.94,8.98
2019-06-30,15.28,$1.96,7.8
2019-03-31,16.68,$2.05,8.13
2018-12-31,14.94,$2.11,7.09
2018-09-30,16.16,$1.91,8.48
2018-06-30,18.36,$1.80,10.21
2018-03-31,20.28,$1.54,13.17
2017-12-31,20.95,$1.56,13.39
2017-09-30,22.16,$1.46,15.13
2017-06-30,20.71,$1.50,13.79
2017-03-31,19.59,$1.51,12.95
2016-12-31,20.57,$1.23,16.71
2016-09-30,15.74,$1.30,12.07
2016-06-30,13.62,$1.28,10.6
2016-03-31,13.44,$1.28,10.52
2015-12-31,14.04,$1.42,9.89
2015-09-30,12.57,$1.43,8.79
2015-06-30,12.8,$1.45,8.83
2015-03-31,11.69,$1.44,8.14
2014-12-31,12.82,$1.41,9.07
2014-09-30,15.57,$1.45,10.73
2014-06-30,11.68,$1.47,7.94
2014-03-31,12.05,$1.65,7.32
2013-12-31,12.64,$1.78,7.12
2013-09-30,11.31,$1.50,7.55
2013-06-30,9.59,$1.51,6.35
2013-03-31,8.57,$1.50,5.72
2012-12-31,8.12,$1.45,5.58
2012-09-30,8.68,$1.55,5.6
2012-06-30,8.1,$1.52,5.34
2012-03-31,7.41,$1.36,5.47
2011-12-31,7.3,$1.30,5.61
2011-09-30,6.17,$1.56,3.95
2011-06-30,7.54,$1.20,6.26
2011-03-31,7.5,$1.21,6.19
2010-12-31,7.71,$1.19,6.45
2010-09-30,6.58,$0.78,8.39
2010-06-30,6.78,$0.64,10.51
2010-03-31,6.3,$0.48,13.24
2009-12-31,6.55,$0.20,33.44
