Annovis Bio Price to Free Cash Flow Ratio Historical Data,Annovis Bio Price to Free Cash Flow Ratio Historical Data,Annovis Bio Price to Free Cash Flow Ratio Historical Data,Annovis Bio Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.8,,0.0
2024-09-30,8.06,$-2.08,0.0
2024-06-30,5.76,$-2.98,0.0
2024-03-31,11.9,$-3.66,0.0
2023-12-31,18.7,$-4.43,0.0
2023-09-30,9.49,$-3.84,0.0
2023-06-30,14.29,$-3.30,0.0
2023-03-31,15.41,$-3.17,0.0
2022-12-31,13.43,$-2.12,0.0
2022-09-30,13.7,$-1.97,0.0
2022-06-30,11.34,$-1.62,0.0
2022-03-31,13.35,$-1.21,0.0
2021-12-31,17.58,$-1.20,0.0
2021-09-30,31.75,$-1.07,0.0
2021-06-30,85.58,$-1.06,0.0
2021-03-31,27.9,$-0.78,0.0
2020-12-31,7.54,$-0.63,0.0
