First Financial Bankshares Price to Free Cash Flow Ratio Historical Data,First Financial Bankshares Price to Free Cash Flow Ratio Historical Data,First Financial Bankshares Price to Free Cash Flow Ratio Historical Data,First Financial Bankshares Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,35.65,,17.32
2024-12-31,36.05,$2.06,17.51
2024-09-30,36.85,$1.89,19.53
2024-06-30,29.25,$1.82,16.06
2024-03-31,32.29,$1.76,18.38
2023-12-31,29.64,$1.90,15.62
2023-09-30,24.43,$1.97,12.39
2023-06-30,27.53,$2.12,13.0
2023-03-31,30.64,$2.22,13.78
2022-12-31,32.87,$2.16,15.2
2022-09-30,39.77,$2.29,17.35
2022-06-30,37.19,$2.46,15.1
2022-03-31,41.6,$2.28,18.25
2021-12-31,47.78,$2.35,20.31
2021-09-30,43.06,$2.27,18.99
2021-06-30,45.88,$1.59,28.91
2021-03-31,43.51,$1.85,23.53
2020-12-31,33.6,$1.37,24.48
2020-09-30,25.83,$1.29,20.0
2020-06-30,26.62,$1.43,18.63
2020-03-31,24.62,$1.12,21.96
2019-12-31,32.05,$1.44,22.29
2019-09-30,30.33,$1.18,25.75
2019-06-30,27.92,$1.40,19.92
2019-03-31,26.09,$1.58,16.49
2018-12-31,25.96,$1.25,20.82
2018-09-30,26.5,$1.35,19.68
2018-06-30,22.75,$1.29,17.63
2018-03-31,20.61,$1.06,19.51
2017-12-31,19.98,$1.37,14.54
2017-09-30,19.96,$1.34,14.9
2017-06-30,19.42,$1.16,16.79
2017-03-31,17.54,$1.06,16.56
2016-12-31,19.69,$1.09,18.09
2016-09-30,15.81,$0.95,16.57
2016-06-30,14.16,$1.03,13.78
2016-03-31,12.7,$0.94,13.54
2015-12-31,12.88,$0.72,17.82
2015-09-30,13.5,$0.85,15.93
2015-06-30,14.64,$0.78,18.66
2015-03-31,11.62,$0.88,13.14
2014-12-31,12.5,$0.92,13.55
2014-09-30,11.57,$0.83,13.96
2014-06-30,13.0,$0.93,13.94
2014-03-31,12.75,$0.83,15.38
2013-12-31,13.58,$0.81,16.8
2013-09-30,12.04,$0.79,15.17
2013-06-30,11.34,$0.60,19.0
2013-03-31,9.85,$0.72,13.65
2012-12-31,7.87,$0.68,11.63
2012-09-30,7.22,$0.64,11.22
2012-06-30,6.88,$0.67,10.2
2012-03-31,6.95,$0.66,10.54
2011-12-31,6.56,$0.68,9.59
2011-09-30,5.09,$0.68,7.51
2011-06-30,6.65,$0.67,9.92
2011-03-31,6.56,$0.73,8.94
2010-12-31,6.5,$0.56,11.55
2010-09-30,5.92,$0.54,10.98
2010-06-30,6.01,$0.83,7.27
2010-03-31,6.41,$1.18,5.41
2009-12-31,6.69,$1.36,4.94
