Bread Financial Holdings Price to Free Cash Flow Ratio Historical Data,Bread Financial Holdings Price to Free Cash Flow Ratio Historical Data,Bread Financial Holdings Price to Free Cash Flow Ratio Historical Data,Bread Financial Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,49.78,,1.35
2024-12-31,61.06,$36.88,1.66
2024-09-30,47.41,$39.42,1.2
2024-06-30,44.22,$43.23,1.02
2024-03-31,36.76,$40.67,0.9
2023-12-31,32.33,$39.74,0.81
2023-09-30,33.56,$37.85,0.89
2023-06-30,30.65,$37.41,0.82
2023-03-31,29.37,$35.20,0.83
2022-12-31,36.29,$36.96,0.98
2022-09-30,30.15,$32.19,0.94
2022-06-30,35.36,$29.25,1.21
2022-03-31,53.34,$28.60,1.87
2021-12-31,63.06,$29.26,2.16
2021-09-30,95.32,$30.81,3.09
2021-06-30,98.21,$30.31,3.24
2021-03-31,105.47,$36.65,2.88
2020-12-31,69.55,$38.18,1.82
2020-09-30,39.27,$23.49,1.67
2020-06-30,42.02,$24.01,1.75
2020-03-31,31.16,$22.06,1.41
2019-12-31,103.27,$21.14,4.89
2019-09-30,117.24,$40.26,2.91
2019-06-30,127.56,$43.25,2.95
2019-03-31,158.58,$46.26,3.43
2018-12-31,135.52,$46.37,2.92
2018-09-30,212.67,$48.12,4.42
2018-06-30,209.47,$48.31,4.34
2018-03-31,190.68,$45.82,4.16
2017-12-31,226.55,$42.46,5.34
2017-09-30,197.55,$40.57,4.87
2017-06-30,228.35,$37.86,6.03
2017-03-31,221.05,$36.36,6.08
2016-12-31,202.39,$32.60,6.21
2016-09-30,189.53,$31.24,6.07
2016-06-30,173.09,$28.51,6.07
2016-03-31,194.36,$26.83,7.24
2015-12-31,244.34,$25.17,9.71
2015-09-30,228.8,$19.17,11.93
2015-06-30,257.92,$18.48,13.95
2015-03-31,261.72,$16.69,15.68
2014-12-31,252.71,$19.00,13.3
2014-09-30,219.33,$16.52,13.28
2014-06-30,248.47,$14.22,17.48
2014-03-31,240.7,$13.64,17.64
2013-12-31,232.29,$12.98,17.89
2013-09-30,186.82,$14.51,12.87
2013-06-30,159.93,$17.10,9.35
2013-03-31,143.02,$16.22,8.82
2012-12-31,127.89,$15.87,8.06
2012-09-30,125.41,$16.10,7.79
2012-06-30,119.27,$15.47,7.71
2012-03-31,111.28,$16.13,6.9
2011-12-31,91.74,$16.22,5.65
2011-09-30,81.9,$15.47,5.29
2011-06-30,83.11,$14.10,5.9
2011-03-31,75.88,$14.98,5.06
2010-12-31,62.75,$14.97,4.19
2010-09-30,57.65,$12.15,4.75
2010-06-30,52.58,$9.33,5.64
2010-03-31,56.53,$7.77,7.28
2009-12-31,57.06,$5.29,10.78
