PMV Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,PMV Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,PMV Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,PMV Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.26,,0.0
2024-12-31,1.51,$-1.00,0.0
2024-09-30,1.49,$-0.96,0.0
2024-06-30,1.62,$-0.91,0.0
2024-03-31,1.7,$-1.17,0.0
2023-12-31,3.1,$-1.18,0.0
2023-09-30,6.14,$-1.28,0.0
2023-06-30,6.26,$-1.41,0.0
2023-03-31,4.77,$-1.49,0.0
2022-12-31,8.7,$-1.57,0.0
2022-09-30,11.9,$-1.48,0.0
2022-06-30,14.25,$-1.35,0.0
2022-03-31,20.82,$-1.18,0.0
2021-12-31,23.1,$-1.06,0.0
2021-09-30,29.8,$0.66,44.93
2021-06-30,34.16,$-2.79,0.0
