XORTX Therapeutics Price to Free Cash Flow Ratio Historical Data,XORTX Therapeutics Price to Free Cash Flow Ratio Historical Data,XORTX Therapeutics Price to Free Cash Flow Ratio Historical Data,XORTX Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.03,,0.0
2024-09-30,1.64,$-1.64,0.0
2024-06-30,1.9,$-1.92,0.0
2024-03-31,3.7,$-2.57,0.0
2023-12-31,2.31,$-3.32,0.0
2023-09-30,0.6,$-5.00,0.0
2023-06-30,0.65,$-5.13,0.0
2023-03-31,0.47,$-5.62,0.0
2022-12-31,0.81,$-6.07,0.0
