Ideal Power Price to Free Cash Flow Ratio Historical Data,Ideal Power Price to Free Cash Flow Ratio Historical Data,Ideal Power Price to Free Cash Flow Ratio Historical Data,Ideal Power Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.98,,0.0
2024-09-30,8.2,$-1.05,0.0
2024-06-30,7.06,$-1.10,0.0
2024-03-31,8.9,$-1.20,0.0
2023-12-31,7.77,$-1.19,0.0
2023-09-30,9.7,$-1.18,0.0
2023-06-30,11.8,$-1.13,0.0
2023-03-31,10.45,$-1.13,0.0
2022-12-31,10.7,$-1.07,0.0
2022-09-30,10.35,$-0.98,0.0
2022-06-30,12.24,$-0.93,0.0
2022-03-31,8.8,$-0.80,0.0
2021-12-31,12.06,$-0.73,0.0
2021-09-30,15.22,$-0.75,0.0
2021-06-30,12.71,$-0.65,0.0
2021-03-31,13.24,$-0.74,0.0
2020-12-31,8.17,$-0.86,0.0
2020-09-30,6.2,$-1.28,0.0
2020-06-30,6.53,$-1.57,0.0
2020-03-31,1.94,$-1.53,0.0
2019-12-31,2.3,$-1.95,0.0
2019-09-30,2.79,$-4.33,0.0
2019-06-30,3.1,$-4.22,0.0
2019-03-31,3.5,$-4.74,0.0
2018-12-31,2.48,$-4.67,0.0
2018-09-30,6.37,$0.36,17.62
2018-06-30,10.6,$-0.50,0.0
2018-03-31,11.4,$-0.67,0.0
2017-12-31,14.2,$-2.29,0.0
2017-09-30,25.9,$-6.93,0.0
2017-06-30,21.0,$-8.55,0.0
2017-03-31,32.5,$-10.43,0.0
2016-12-31,33.0,$-10.99,0.0
2016-09-30,51.7,$-11.95,0.0
2016-06-30,49.3,$-11.24,0.0
2016-03-31,45.2,$-10.74,0.0
2015-12-31,80.0,$-10.40,0.0
2015-09-30,66.1,$-9.22,0.0
2015-06-30,83.9,$-9.10,0.0
2015-03-31,94.4,$-8.53,0.0
2014-12-31,72.6,$-8.28,0.0
2014-09-30,75.5,$-22.86,0.0
