MingZhu Logistics Holdings Price to Free Cash Flow Ratio Historical Data,MingZhu Logistics Holdings Price to Free Cash Flow Ratio Historical Data,MingZhu Logistics Holdings Price to Free Cash Flow Ratio Historical Data,MingZhu Logistics Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.94,,inf
2023-12-31,0.47,0.0,0.0
2023-06-30,0.87,0.0,0.0
2022-12-31,0.84,0.0,0.0
