Owens Corning Inc Price to Free Cash Flow Ratio Historical Data,Owens Corning Inc Price to Free Cash Flow Ratio Historical Data,Owens Corning Inc Price to Free Cash Flow Ratio Historical Data,Owens Corning Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,147.07,,9.49
2024-12-31,170.32,$15.49,11.0
2024-09-30,175.96,$16.23,10.84
2024-06-30,172.58,$15.12,11.41
2024-03-31,165.7,$15.30,10.83
2023-12-31,146.08,$15.24,9.58
2023-09-30,133.89,$15.56,8.61
2023-06-30,127.58,$13.78,9.26
2023-03-31,93.66,$13.56,6.91
2022-12-31,82.46,$15.62,5.28
2022-09-30,75.67,$10.78,7.02
2022-06-30,71.22,$10.75,6.62
2022-03-31,87.69,$10.75,8.16
2021-12-31,86.08,$11.28,7.63
2021-09-30,81.09,$12.53,6.47
2021-06-30,92.59,$11.92,7.77
2021-03-31,87.1,$10.42,8.36
2020-12-31,71.18,$8.10,8.78
2020-09-30,64.44,$8.14,7.92
2020-06-30,52.01,$6.02,8.64
2020-03-31,36.2,$6.63,5.46
2019-12-31,60.24,$5.56,10.84
2019-09-30,58.26,$4.37,13.32
2019-06-30,53.44,$3.19,16.75
2019-03-31,43.27,$1.94,22.33
2018-12-31,39.99,$2.63,15.21
2018-09-30,49.15,$2.88,17.07
2018-06-30,57.2,$4.18,13.69
2018-03-31,72.57,$4.98,14.56
2017-12-31,82.78,$6.02,13.74
2017-09-30,69.31,$5.47,12.68
2017-06-30,59.78,$5.73,10.42
2017-03-31,54.82,$4.71,11.64
2016-12-31,45.91,$4.94,9.29
2016-09-30,47.19,$5.33,8.86
2016-06-30,45.39,$4.90,9.26
2016-03-31,41.65,$4.55,9.15
2015-12-31,41.27,$3.12,13.22
2015-09-30,36.5,$3.21,11.39
2015-06-30,35.78,$2.15,16.67
2015-03-31,37.65,$2.23,16.92
2014-12-31,30.93,$1.21,25.59
2014-09-30,27.16,$0.05,513.37
2014-06-30,32.94,$0.25,134.08
2014-03-31,36.77,$-0.27,0.0
2013-12-31,34.55,$0.60,57.16
2013-09-30,32.23,$1.19,27.0
2013-06-30,33.16,$0.75,44.1
2013-03-31,33.46,$0.58,57.31
2012-12-31,31.39,$0.30,104.11
2012-09-30,28.39,$-0.35,0.0
2012-06-30,24.22,$-0.05,0.0
2012-03-31,30.57,$-0.41,0.0
2011-12-31,24.37,$-0.58,0.0
2011-09-30,18.4,$-0.22,0.0
2011-06-30,31.69,$-0.47,0.0
2011-03-31,30.54,$0.22,136.28
2010-12-31,26.43,$1.89,14.0
2010-09-30,21.75,$2.19,9.93
2010-06-30,25.38,$4.23,5.99
2010-03-31,21.59,$4.60,4.69
2009-12-31,21.76,$2.65,8.21
