Reynolds Consumer Products Price to Free Cash Flow Ratio Historical Data,Reynolds Consumer Products Price to Free Cash Flow Ratio Historical Data,Reynolds Consumer Products Price to Free Cash Flow Ratio Historical Data,Reynolds Consumer Products Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,23.64,,13.48
2024-12-31,26.99,$1.75,15.39
2024-09-30,30.84,$2.01,15.36
2024-06-30,27.54,$2.47,11.14
2024-03-31,27.89,$2.59,10.77
2023-12-31,25.99,$2.57,10.11
2023-09-30,24.61,$1.93,12.76
2023-06-30,26.91,$0.96,27.97
2023-03-31,25.98,$0.79,32.85
2022-12-31,28.09,$0.43,64.81
2022-09-30,24.19,$0.86,28.2
2022-06-30,25.17,$1.28,19.63
2022-03-31,26.86,$0.83,32.39
2021-12-31,28.52,$0.81,35.4
2021-09-30,24.64,$0.67,37.04
2021-06-30,27.14,$0.83,32.61
2021-03-31,26.43,$2.26,11.67
2020-12-31,26.46,$0.86,30.74
