Rezolve AI Price to Free Cash Flow Ratio Historical Data,Rezolve AI Price to Free Cash Flow Ratio Historical Data,Rezolve AI Price to Free Cash Flow Ratio Historical Data,Rezolve AI Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.52,,13.57
2024-06-30,11.44,$0.11,102.14
2024-03-31,11.08,$0.12,90.08
2023-12-31,10.77,$-0.02,0.0
2023-09-30,10.7,$-0.05,0.0
2023-06-30,10.45,$-0.25,0.0
2023-03-31,10.08,$-0.20,0.0
2022-12-31,10.12,$-0.05,0.0
2022-09-30,9.92,$-0.04,0.0
