Mesa Royalty Trust Price to Free Cash Flow Ratio Historical Data,Mesa Royalty Trust Price to Free Cash Flow Ratio Historical Data,Mesa Royalty Trust Price to Free Cash Flow Ratio Historical Data,Mesa Royalty Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.42,,inf
2024-09-30,5.67,0.0,0.0
2024-06-30,8.8,0.0,0.0
2024-03-31,10.53,0.0,0.0
2023-12-31,13.01,0.0,0.0
2023-09-30,14.87,0.0,0.0
2023-06-30,23.9,0.0,0.0
2023-03-31,15.0,0.0,0.0
2022-12-31,20.14,0.0,0.0
2022-09-30,11.18,0.0,0.0
2022-06-30,9.29,0.0,0.0
2022-03-31,7.08,0.0,0.0
2021-12-31,4.84,0.0,0.0
2021-09-30,4.38,0.0,0.0
2021-06-30,4.85,0.0,0.0
2021-03-31,3.48,0.0,0.0
2020-12-31,2.99,0.0,0.0
2020-09-30,2.87,0.0,0.0
2020-06-30,3.77,0.0,0.0
2020-03-31,3.52,0.0,0.0
2019-12-31,4.85,0.0,0.0
2019-09-30,5.92,0.0,0.0
2019-06-30,7.79,0.0,0.0
2019-03-31,8.26,0.0,0.0
2018-12-31,6.96,0.0,0.0
2018-09-30,9.03,0.0,0.0
2018-06-30,8.92,0.0,0.0
2018-03-31,9.17,0.0,0.0
2017-12-31,11.0,0.0,0.0
2017-09-30,9.01,0.0,0.0
2017-06-30,6.66,0.0,0.0
2017-03-31,7.34,0.0,0.0
2016-12-31,5.84,0.0,0.0
2016-09-30,4.33,0.0,0.0
2016-06-30,5.53,0.0,0.0
2016-03-31,4.16,0.0,0.0
2015-12-31,3.75,0.0,0.0
2015-09-30,4.81,0.0,0.0
2015-06-30,6.72,0.0,0.0
2015-03-31,9.96,0.0,0.0
2014-12-31,11.95,0.0,0.0
2014-09-30,15.78,0.0,0.0
2014-06-30,14.95,0.0,0.0
2014-03-31,10.87,0.0,0.0
2013-12-31,8.69,0.0,0.0
2013-09-30,9.25,0.0,0.0
2013-06-30,8.91,0.0,0.0
2013-03-31,9.51,0.0,0.0
2012-12-31,7.29,0.0,0.0
2012-09-30,9.33,0.0,0.0
2012-06-30,12.5,0.0,0.0
2012-03-31,14.03,0.0,0.0
2011-12-31,14.17,0.0,0.0
2011-09-30,15.32,0.0,0.0
2011-06-30,15.35,0.0,0.0
2011-03-31,16.67,0.0,0.0
2010-12-31,16.34,0.0,0.0
2010-09-30,15.11,0.0,0.0
2010-06-30,14.75,0.0,0.0
2010-03-31,13.05,0.0,0.0
2009-12-31,11.33,0.0,0.0
