Parker-Hannifin Price to Free Cash Flow Ratio Historical Data,Parker-Hannifin Price to Free Cash Flow Ratio Historical Data,Parker-Hannifin Price to Free Cash Flow Ratio Historical Data,Parker-Hannifin Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,624.72,,24.55
2024-12-31,636.03,$25.45,24.99
2024-09-30,630.34,$23.81,26.48
2024-06-30,503.23,$22.98,21.9
2024-03-31,551.35,$22.68,24.32
2023-12-31,455.72,$22.00,20.71
2023-09-30,383.95,$21.40,17.94
2023-06-30,383.06,$20.12,19.04
2023-03-31,328.59,$18.17,18.08
2022-12-31,283.42,$17.14,16.53
2022-09-30,234.97,$17.30,13.59
2022-06-30,237.45,$17.27,13.75
2022-03-31,272.45,$15.74,17.31
2021-12-31,304.41,$15.64,19.46
2021-09-30,266.73,$16.70,15.97
2021-06-30,291.97,$19.15,15.25
2021-03-31,298.9,$19.92,15.0
2020-12-31,257.31,$19.35,13.3
2020-09-30,190.42,$16.54,11.51
2020-06-30,171.75,$14.37,11.96
2020-03-31,120.89,$13.22,9.15
2019-12-31,191.0,$13.95,13.69
2019-09-30,166.87,$14.26,11.7
2019-06-30,156.2,$12.00,13.01
2019-03-31,156.88,$12.41,12.64
2018-12-31,135.69,$11.47,11.83
2018-09-30,166.61,$10.26,16.24
2018-06-30,140.56,$10.57,13.3
2018-03-31,153.58,$9.08,16.91
2017-12-31,178.54,$8.44,21.15
2017-09-30,156.01,$8.83,17.67
2017-06-30,141.86,$8.20,17.3
2017-03-31,141.72,$8.23,17.21
2016-12-31,123.2,$8.22,14.99
2016-09-30,109.92,$8.63,12.74
2016-06-30,94.14,$7.89,11.93
2016-03-31,96.24,$7.90,12.18
2015-12-31,83.5,$7.28,11.47
2015-09-30,83.28,$6.55,12.71
2015-06-30,98.96,$8.04,12.3
2015-03-31,100.52,$8.07,12.45
2014-12-31,108.56,$7.88,13.78
2014-09-30,95.63,$7.71,12.41
2014-06-30,104.89,$7.83,13.39
2014-03-31,99.48,$7.15,13.91
2013-12-31,106.46,$7.69,13.85
2013-09-30,89.63,$8.27,10.84
2013-06-30,78.3,$6.27,12.49
2013-03-31,74.81,$6.48,11.54
2012-12-31,69.16,$6.98,9.91
2012-09-30,67.6,$6.38,10.6
2012-06-30,61.87,$8.61,7.18
2012-03-31,67.72,$7.63,8.88
2011-12-31,60.8,$7.21,8.44
2011-09-30,50.12,$7.32,6.84
2011-06-30,70.85,$6.02,11.77
2011-03-31,74.44,$6.14,12.12
2010-12-31,67.61,$5.28,12.81
2010-09-30,54.69,$5.76,9.5
2010-06-30,43.11,$6.76,6.38
2010-03-31,50.13,$6.86,7.31
2009-12-31,41.54,$8.84,4.7
