NiSource Price to Free Cash Flow Ratio Historical Data,NiSource Price to Free Cash Flow Ratio Historical Data,NiSource Price to Free Cash Flow Ratio Historical Data,NiSource Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,39.57,,0.0
2024-12-31,36.76,$-1.83,0.0
2024-09-30,34.39,$-2.15,0.0
2024-06-30,28.35,$-2.36,0.0
2024-03-31,26.97,$-2.17,0.0
2023-12-31,25.62,$-1.59,0.0
2023-09-30,23.58,$-1.48,0.0
2023-06-30,25.9,$-1.71,0.0
2023-03-31,26.25,$-1.80,0.0
2022-12-31,25.5,$-1.79,0.0
2022-09-30,23.22,$-1.76,0.0
2022-06-30,26.97,$-1.28,0.0
2022-03-31,28.86,$-1.40,0.0
2021-12-31,24.85,$-1.49,0.0
2021-09-30,21.62,$1.51,14.32
2021-06-30,21.67,$1.27,17.09
2021-03-31,21.14,$1.62,13.04
2020-12-31,19.92,$1.20,16.58
2020-09-30,18.93,$-1.50,0.0
2020-06-30,19.4,$-1.09,0.0
2020-03-31,21.13,$-0.92,0.0
2019-12-31,23.4,$-0.58,0.0
2019-09-30,24.97,$-2.77,0.0
2019-06-30,23.87,$-3.29,0.0
2019-03-31,23.58,$-3.51,0.0
2018-12-31,20.7,$-3.58,0.0
2018-09-30,20.2,$-1.83,0.0
2018-06-30,21.14,$-2.70,0.0
2018-03-31,19.08,$-3.13,0.0
2017-12-31,20.31,$-2.88,0.0
2017-09-30,20.11,$-2.44,0.0
2017-06-30,19.8,$-1.75,0.0
2017-03-31,18.44,$-1.78,0.0
2016-12-31,17.03,$-2.08,0.0
2016-09-30,18.41,$-2.26,0.0
2016-06-30,20.12,$-2.04,0.0
2016-03-31,17.75,$-0.84,0.0
2015-12-31,14.59,$0.30,48.56
2015-09-30,13.76,$1.06,13.04
2015-06-30,12.96,$2.51,5.17
2015-03-31,12.48,$1.22,10.25
2014-12-31,11.92,$0.12,101.71
2014-09-30,11.44,$1.30,8.78
2014-06-30,10.91,$-0.17,0.0
2014-03-31,9.79,$0.53,18.42
2013-12-31,8.99,$0.75,12.03
2013-09-30,8.38,$-1.11,0.0
2013-06-30,7.71,$-0.89,0.0
2013-03-31,7.84,$-1.05,0.0
2012-12-31,6.59,$-0.66,0.0
2012-09-30,6.68,$-1.13,0.0
2012-06-30,6.43,$-1.36,0.0
2012-03-31,6.27,$-0.96,0.0
2011-12-31,6.07,$-0.84,0.0
2011-09-30,5.39,$0.62,8.68
2011-06-30,5.05,$0.54,9.35
2011-03-31,4.73,$0.70,6.8
2010-12-31,4.29,$-0.27,0.0
2010-09-30,4.18,$0.50,8.3
2010-06-30,3.44,$0.36,9.44
2010-03-31,3.69,$-0.04,0.0
2009-12-31,3.54,$3.24,1.09
