Sadot Group Price to Free Cash Flow Ratio Historical Data,Sadot Group Price to Free Cash Flow Ratio Historical Data,Sadot Group Price to Free Cash Flow Ratio Historical Data,Sadot Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.97,,0.0
2024-12-31,3.79,$-0.69,0.0
2024-09-30,4.24,$-1.39,0.0
2024-06-30,3.82,$-1.45,0.0
2024-03-31,2.99,$-4.17,0.0
2023-12-31,4.01,$-5.98,0.0
2023-09-30,6.99,$-4.89,0.0
2023-06-30,11.9,$-3.69,0.0
2023-03-31,10.7,$-2.83,0.0
2022-12-31,9.1,$-2.00,0.0
2022-09-30,3.76,$-2.53,0.0
2022-06-30,3.85,$0.69,5.6
2022-03-31,5.28,$-2.98,0.0
2021-12-31,7.2,$-4.04,0.0
2021-09-30,11.4,$-6.30,0.0
2021-06-30,14.0,$-11.15,0.0
2021-03-31,22.8,$-8.73,0.0
2020-12-31,17.5,$-11.30,0.0
