Investar Holding Price to Free Cash Flow Ratio Historical Data,Investar Holding Price to Free Cash Flow Ratio Historical Data,Investar Holding Price to Free Cash Flow Ratio Historical Data,Investar Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,17.37,,9.16
2024-12-31,21.96,$1.90,11.59
2024-09-30,19.4,$1.94,10.0
2024-06-30,15.22,$2.45,6.21
2024-03-31,16.17,$2.35,6.89
2023-12-31,14.64,$2.71,5.4
2023-09-30,10.33,$3.73,2.77
2023-06-30,11.7,$4.09,2.86
2023-03-31,13.38,$4.20,3.18
2022-12-31,20.5,$5.15,3.98
2022-09-30,18.87,$4.58,4.12
2022-06-30,20.66,$3.95,5.23
2022-03-31,17.94,$4.45,4.03
2021-12-31,17.22,$2.97,5.79
2021-09-30,20.51,$3.00,6.84
2021-06-30,21.24,$2.72,7.8
2021-03-31,19.0,$1.78,10.65
2020-12-31,15.24,$0.95,16.05
2020-09-30,11.71,$0.79,14.76
2020-06-30,13.19,$0.69,19.13
2020-03-31,11.55,$0.81,14.22
2019-12-31,21.71,$1.58,13.78
2019-09-30,21.42,$1.59,13.44
2019-06-30,21.42,$1.46,14.7
2019-03-31,20.35,$1.59,12.83
2018-12-31,22.22,$1.20,18.47
2018-09-30,23.97,$1.05,22.81
2018-06-30,24.65,$1.01,24.52
2018-03-31,23.01,$0.07,328.24
2017-12-31,21.42,$1.02,21.09
2017-09-30,21.4,$1.36,15.69
2017-06-30,20.33,$0.81,25.04
2017-03-31,19.42,$2.63,7.37
2016-12-31,16.53,$5.11,3.23
2016-09-30,13.58,$1.20,11.32
2016-06-30,13.61,$5.14,2.65
2016-03-31,12.97,$2.37,5.48
2015-12-31,15.56,$5.10,3.05
2015-09-30,13.68,$-1.51,0.0
2015-06-30,13.42,$-10.95,0.0
