ChoiceOne Financial Services Price to Free Cash Flow Ratio Historical Data,ChoiceOne Financial Services Price to Free Cash Flow Ratio Historical Data,ChoiceOne Financial Services Price to Free Cash Flow Ratio Historical Data,ChoiceOne Financial Services Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,28.95,,5.07
2024-12-31,35.64,$5.71,6.24
2024-09-30,30.68,$1.20,25.58
2024-06-30,28.18,$6.52,4.32
2024-03-31,26.62,$6.48,4.11
2023-12-31,28.23,$5.58,5.06
2023-09-30,18.75,$8.76,2.14
2023-06-30,21.71,$5.90,3.68
2023-03-31,23.57,$6.51,3.62
2022-12-31,26.81,$5.73,4.68
2022-09-30,19.88,$5.04,3.94
2022-06-30,18.22,$5.40,3.38
2022-03-31,22.39,$4.69,4.77
2021-12-31,23.43,$4.54,5.17
2021-09-30,21.68,$7.26,2.98
2021-06-30,21.0,$3.75,5.6
2021-03-31,20.67,$1.43,14.46
2020-12-31,26.29,$0.88,29.88
