Cognizant Technology Solutions Price to Free Cash Flow Ratio Historical Data,Cognizant Technology Solutions Price to Free Cash Flow Ratio Historical Data,Cognizant Technology Solutions Price to Free Cash Flow Ratio Historical Data,Cognizant Technology Solutions Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,77.21,,21.0
2024-12-31,76.9,$3.68,20.92
2024-09-30,76.88,$3.30,23.29
2024-06-30,67.47,$3.20,21.06
2024-03-31,72.4,$2.78,26.06
2023-12-31,74.32,$3.99,18.65
2023-09-30,66.38,$3.85,17.25
2023-06-30,63.7,$4.20,15.16
2023-03-31,59.19,$5.19,11.4
2022-12-31,55.31,$4.31,12.84
2022-09-30,55.3,$4.57,12.1
2022-06-30,64.73,$4.43,14.62
2022-03-31,85.67,$4.38,19.58
2021-12-31,84.5,$4.20,20.13
2021-09-30,70.47,$4.28,16.47
2021-06-30,65.56,$4.07,16.1
2021-03-31,73.7,$4.83,15.25
2020-12-31,77.07,$5.36,14.37
2020-09-30,65.09,$5.32,12.22
2020-06-30,53.1,$4.97,10.68
2020-03-31,43.24,$4.18,10.34
2019-12-31,57.53,$3.76,15.29
2019-09-30,55.73,$3.31,16.84
2019-06-30,58.43,$3.50,16.71
2019-03-31,66.56,$3.58,18.59
2018-12-31,58.16,$3.79,15.33
2018-09-30,70.48,$4.03,17.47
2018-06-30,71.97,$3.87,18.61
2018-03-31,73.15,$3.72,19.68
2017-12-31,64.38,$3.57,18.04
2017-09-30,65.62,$3.15,20.8
2017-06-30,59.94,$2.85,21.02
2017-03-31,53.6,$2.54,21.11
2016-12-31,50.46,$2.20,22.89
2016-09-30,42.97,$2.42,17.77
2016-06-30,51.55,$2.78,18.55
2016-03-31,56.47,$2.92,19.33
2015-12-31,54.05,$3.12,17.31
2015-09-30,56.36,$2.47,22.83
2015-06-30,55.02,$2.10,26.19
2015-03-31,56.19,$2.09,26.95
2014-12-31,47.43,$2.06,23.05
2014-09-30,40.32,$2.30,17.5
2014-06-30,44.05,$2.18,20.24
2014-03-31,45.57,$2.09,21.8
2013-12-31,45.47,$1.91,23.85
2013-09-30,36.98,$1.63,22.66
2013-06-30,28.21,$1.42,19.82
2013-03-31,34.5,$1.31,26.43
2012-12-31,33.27,$1.37,24.28
2012-09-30,31.47,$1.25,25.19
2012-06-30,27.02,$1.14,23.74
2012-03-31,34.65,$1.03,33.68
2011-12-31,28.96,$0.95,30.62
2011-09-30,28.23,$1.20,23.45
2011-06-30,33.03,$1.10,30.14
2011-03-31,36.65,$0.96,38.34
2010-12-31,33.0,$0.94,35.23
2010-09-30,29.03,$0.80,36.51
2010-06-30,22.54,$0.78,29.02
2010-03-31,22.96,$0.86,26.64
2009-12-31,20.41,$0.99,20.64
