HP Price to Free Cash Flow Ratio Historical Data,HP Price to Free Cash Flow Ratio Historical Data,HP Price to Free Cash Flow Ratio Historical Data,HP Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,28.51,,8.63
2025-01-31,32.5,$3.30,9.84
2024-10-31,35.22,$3.19,11.04
2024-07-31,35.5,$3.55,10.01
2024-04-30,27.42,$3.11,8.82
2024-01-31,27.77,$3.15,8.82
2023-10-31,25.24,$2.98,8.48
2023-07-31,31.19,$2.78,11.2
2023-04-30,27.99,$2.21,12.68
2023-01-31,27.19,$2.05,13.28
2022-10-31,25.54,$3.52,7.25
2022-07-31,30.6,$4.02,7.61
2022-04-30,33.35,$4.61,7.23
2022-01-31,33.21,$5.35,6.2
2021-10-31,27.24,$4.78,5.7
2021-07-31,25.76,$3.87,6.66
2021-04-30,30.24,$4.11,7.36
2021-01-31,21.44,$2.58,8.32
2020-10-31,15.69,$2.63,5.96
2020-07-31,15.22,$1.62,9.37
2020-04-30,13.29,$1.99,6.69
2020-01-31,18.11,$2.93,6.18
2019-10-31,14.63,$2.61,5.6
2019-07-31,17.57,$2.88,6.11
2019-04-30,16.53,$2.30,7.17
2019-01-31,18.25,$2.39,7.65
2018-10-31,19.86,$2.54,7.81
2018-07-31,18.88,$2.34,8.06
2018-04-30,17.48,$2.48,7.06
2018-01-31,18.85,$2.12,8.88
2017-10-31,17.31,$1.96,8.81
2017-07-31,15.24,$1.98,7.7
2017-04-30,14.9,$1.54,9.68
2017-01-31,11.83,$2.17,5.44
2016-10-31,11.29,$1.62,6.97
2016-07-31,10.82,$2.58,4.2
2016-04-30,9.39,$2.47,3.8
2016-01-31,7.35,$2.03,3.63
2015-10-31,9.17,$2.11,4.34
2015-07-31,10.32,$1.81,5.71
2015-04-30,11.09,$2.79,3.97
2015-01-31,12.09,$3.57,3.38
2014-10-31,11.96,$4.88,2.45
2014-07-31,11.82,$4.96,2.38
2014-04-30,10.92,$4.55,2.4
2014-01-31,9.53,$4.86,1.96
2013-10-31,7.97,$4.65,1.71
2013-07-31,8.34,$5.36,1.56
2013-04-30,6.65,$5.38,1.24
2013-01-31,5.3,$4.64,1.14
2012-10-31,4.4,$3.79,1.16
2012-07-31,5.76,$2.52,2.28
2012-04-30,7.77,$2.66,2.92
2012-01-31,8.73,$3.27,2.67
2011-10-31,8.27,$4.28,1.93
2011-07-31,10.87,$4.70,2.31
2011-04-30,12.43,$4.46,2.79
2011-01-31,14.05,$4.05,3.47
2010-10-31,12.9,$3.54,3.65
2010-07-31,14.1,$3.68,3.83
2010-04-30,15.88,$3.92,4.06
2010-01-31,14.37,$4.69,3.06
2009-10-31,14.46,$4.18,3.46
