Origin Bancorp Price to Free Cash Flow Ratio Historical Data,Origin Bancorp Price to Free Cash Flow Ratio Historical Data,Origin Bancorp Price to Free Cash Flow Ratio Historical Data,Origin Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,35.41,,12.01
2024-12-31,33.29,$2.95,11.29
2024-09-30,32.02,$2.75,11.64
2024-06-30,31.43,$2.27,13.84
2024-03-31,30.81,$3.38,9.13
2023-12-31,34.91,$3.33,10.47
2023-09-30,28.2,$4.71,5.98
2023-06-30,28.49,$5.14,5.54
2023-03-31,31.09,$5.25,5.92
2022-12-31,35.35,$5.13,6.9
2022-09-30,36.92,$4.17,8.86
2022-06-30,37.12,$4.65,7.98
2022-03-31,40.29,$4.66,8.65
2021-12-31,40.77,$7.05,5.78
2021-09-30,40.12,$5.51,7.29
2021-06-30,40.09,$5.01,7.99
2021-03-31,39.93,$2.43,16.41
2020-12-31,26.06,$-0.27,0.0
2020-09-30,19.97,$1.12,17.89
2020-06-30,20.49,$0.54,37.92
2020-03-31,18.76,$1.85,10.14
2019-12-31,34.96,$2.13,16.41
2019-09-30,31.09,$1.96,15.9
2019-06-30,30.41,$2.84,10.69
2019-03-31,31.34,$3.82,8.2
