Sterling Bancorp Price to Free Cash Flow Ratio Historical Data,Sterling Bancorp Price to Free Cash Flow Ratio Historical Data,Sterling Bancorp Price to Free Cash Flow Ratio Historical Data,Sterling Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.87,,0.0
2024-12-31,4.76,$-0.04,0.0
2024-09-30,4.55,$0.02,209.68
2024-06-30,5.23,$-0.52,0.0
2024-03-31,5.16,$-0.50,0.0
2023-12-31,5.77,$-0.50,0.0
2023-09-30,5.84,$-0.59,0.0
2023-06-30,5.47,$0.43,12.71
2023-03-31,5.66,$0.44,12.92
2022-12-31,6.09,$0.53,11.44
2022-09-30,6.03,$0.55,10.88
2022-06-30,5.7,$0.34,16.62
2022-03-31,7.1,$0.57,12.4
2021-12-31,5.75,$0.59,9.75
2021-09-30,5.16,$0.53,9.78
2021-06-30,4.55,$0.24,18.59
2021-03-31,5.66,$0.25,22.77
2020-12-31,4.54,$0.16,29.29
2020-09-30,3.01,$3.41,0.88
2020-06-30,3.58,$4.08,0.88
2020-03-31,4.3,$4.12,1.04
2019-12-31,8.09,$4.55,1.78
2019-09-30,9.74,$1.44,6.78
2019-06-30,9.94,$1.22,8.17
2019-03-31,10.09,$-0.96,0.0
2018-12-31,6.91,$1.07,6.45
2018-09-30,11.24,$1.98,5.66
