Martin Marietta Materials Price to Free Cash Flow Ratio Historical Data,Martin Marietta Materials Price to Free Cash Flow Ratio Historical Data,Martin Marietta Materials Price to Free Cash Flow Ratio Historical Data,Martin Marietta Materials Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,483.78,,49.34
2024-12-31,516.5,$9.81,52.68
2024-09-30,537.53,$8.39,64.05
2024-06-30,540.26,$7.80,69.22
2024-03-31,612.19,$13.90,44.06
2023-12-31,496.87,$14.14,35.14
2023-09-30,408.15,$12.33,33.11
2023-06-30,458.31,$10.74,42.69
2023-03-31,351.88,$7.44,47.31
2022-12-31,334.34,$8.14,41.05
2022-09-30,318.05,$8.11,39.22
2022-06-30,294.93,$8.81,33.47
2022-03-31,378.67,$10.61,35.7
2021-12-31,432.7,$11.42,37.91
2021-09-30,335.11,$11.45,29.26
2021-06-30,344.49,$11.55,29.84
2021-03-31,328.32,$12.33,26.63
2020-12-31,277.16,$11.06,25.05
2020-09-30,229.22,$10.22,22.42
2020-06-30,200.62,$10.29,19.5
2020-03-31,183.26,$9.37,19.56
2019-12-31,270.16,$9.13,29.58
2019-09-30,264.26,$8.23,32.13
2019-06-30,221.37,$6.44,34.36
2019-03-31,193.1,$4.88,39.55
2018-12-31,164.56,$5.22,31.55
2018-09-30,173.77,$5.02,34.61
2018-06-30,212.78,$4.49,47.39
2018-03-31,197.12,$4.50,43.83
2017-12-31,209.73,$3.91,53.6
2017-09-30,195.26,$4.32,45.22
2017-06-30,210.31,$4.94,42.53
2017-03-31,205.84,$4.68,43.97
2016-12-31,208.53,$4.72,44.14
2016-09-30,168.28,$4.46,37.76
2016-06-30,179.99,$3.92,45.95
2016-03-31,149.22,$3.82,39.04
2015-12-31,127.41,$3.91,32.55
2015-09-30,141.39,$3.28,43.1
2015-06-30,131.36,$2.91,45.09
2015-03-31,129.43,$2.96,43.69
2014-12-31,101.85,$2.62,38.9
2014-09-30,118.66,$2.89,41.07
2014-06-30,121.15,$3.05,39.78
2014-03-31,117.38,$2.74,42.86
2013-12-31,91.1,$3.32,27.43
2013-09-30,89.12,$2.57,34.61
2013-06-30,88.97,$2.37,37.6
2013-03-31,91.9,$2.40,38.26
2012-12-31,84.57,$1.56,54.25
2012-09-30,74.0,$0.73,101.39
2012-06-30,70.01,$1.47,47.64
2012-03-31,75.61,$1.56,48.61
2011-12-31,66.28,$2.27,29.26
2011-09-30,55.26,$2.79,19.8
2011-06-30,69.51,$2.50,27.81
2011-03-31,77.57,$2.68,28.93
2010-12-31,79.44,$2.93,27.09
2010-09-30,65.98,$3.09,21.36
2010-06-30,72.3,$3.51,20.62
2010-03-31,70.91,$3.52,20.17
2009-12-31,75.51,$4.05,18.63
