Tejon Ranch Co Price to Free Cash Flow Ratio Historical Data,Tejon Ranch Co Price to Free Cash Flow Ratio Historical Data,Tejon Ranch Co Price to Free Cash Flow Ratio Historical Data,Tejon Ranch Co Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,16.07,,0.0
2024-12-31,15.9,$-1.60,0.0
2024-09-30,17.55,$-1.77,0.0
2024-06-30,17.06,$-0.82,0.0
2024-03-31,15.41,$-0.50,0.0
2023-12-31,17.2,$-0.28,0.0
2023-09-30,16.22,$-0.08,0.0
2023-06-30,17.21,$0.13,131.78
2023-03-31,18.27,$0.05,400.66
2022-12-31,18.84,$0.41,46.15
2022-09-30,14.4,$0.53,27.27
2022-06-30,15.52,$-0.18,0.0
2022-03-31,18.26,$-0.16,0.0
2021-12-31,19.08,$-0.51,0.0
2021-09-30,17.76,$-0.70,0.0
2021-06-30,15.21,$-0.30,0.0
2021-03-31,16.74,$-0.20,0.0
2020-12-31,14.45,$-0.18,0.0
2020-09-30,14.15,$0.14,102.54
2020-06-30,14.4,$0.60,23.87
2020-03-31,14.06,$-0.14,0.0
2019-12-31,15.98,$-0.35,0.0
2019-09-30,16.97,$-0.74,0.0
2019-06-30,16.59,$-1.39,0.0
2019-03-31,17.6,$-0.68,0.0
2018-12-31,16.58,$-0.32,0.0
2018-09-30,21.71,$-0.46,0.0
2018-06-30,24.3,$-0.27,0.0
2018-03-31,23.11,$-0.19,0.0
2017-12-31,20.76,$-0.55,0.0
2017-09-30,21.1,$-0.27,0.0
2017-06-30,20.64,$-0.57,0.0
2017-03-31,21.89,$-0.69,0.0
2016-12-31,25.43,$-0.78,0.0
2016-09-30,24.32,$-0.54,0.0
2016-06-30,23.64,$-0.80,0.0
2016-03-31,20.57,$-0.60,0.0
2015-12-31,19.15,$-0.50,0.0
2015-09-30,21.81,$-0.81,0.0
2015-06-30,25.71,$-0.61,0.0
2015-03-31,26.45,$-0.74,0.0
2014-12-31,29.46,$-0.56,0.0
2014-09-30,28.04,$-0.53,0.0
2014-06-30,32.19,$-0.65,0.0
2014-03-31,33.83,$-0.61,0.0
2013-12-31,36.76,$-0.59,0.0
2013-09-30,30.84,$-0.76,0.0
2013-06-30,28.49,$-0.50,0.0
2013-03-31,29.78,$0.00,0.0
2012-12-31,28.08,$-0.33,0.0
2012-09-30,30.04,$0.02,1877.5
2012-06-30,28.62,$-0.08,0.0
2012-03-31,28.64,$-0.35,0.0
2011-12-31,24.48,$0.04,594.17
2011-09-30,23.87,$-0.87,0.0
2011-06-30,34.1,$-1.01,0.0
2011-03-31,36.74,$-0.93,0.0
2010-12-31,27.55,$-1.20,0.0
2010-09-30,21.67,$-0.83,0.0
2010-06-30,23.08,$-0.98,0.0
2010-03-31,30.52,$-1.21,0.0
2009-12-31,29.22,$-1.34,0.0
