Momentus Price to Free Cash Flow Ratio Historical Data,Momentus Price to Free Cash Flow Ratio Historical Data,Momentus Price to Free Cash Flow Ratio Historical Data,Momentus Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.93,,0.3
2024-09-30,6.18,$6.41,0.97
2024-06-30,7.5,$-53.55,0.0
2024-03-31,6.05,$-146.36,0.0
2023-12-31,24.22,$-290.48,0.0
2023-09-30,28.0,$-449.56,0.0
2023-06-30,220.5,$-601.95,0.0
2023-03-31,409.5,$-704.86,0.0
2022-12-31,545.93,$-759.41,0.0
2022-09-30,959.0,$-660.37,0.0
2022-06-30,1512.0,$-820.24,0.0
2022-03-31,2233.0,$-917.36,0.0
2021-12-31,2926.0,$-885.57,0.0
2021-09-30,7420.0,$-971.98,0.0
2021-06-30,9779.0,$-703.73,0.0
2021-03-31,9261.0,$-520.38,0.0
2020-12-31,12572.0,$-380.49,0.0
