Security National Financial Price to Free Cash Flow Ratio Historical Data,Security National Financial Price to Free Cash Flow Ratio Historical Data,Security National Financial Price to Free Cash Flow Ratio Historical Data,Security National Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,12.88,,4.4
2024-09-30,9.2,$2.92,3.15
2024-06-30,7.61,$2.48,3.06
2024-03-31,7.53,$3.93,1.92
2023-12-31,8.57,$2.22,3.87
2023-09-30,7.47,$1.51,4.93
2023-06-30,8.05,$1.40,5.74
2023-03-31,5.65,$1.70,3.32
2022-12-31,6.62,$5.33,1.24
2022-09-30,5.76,$5.17,1.11
2022-06-30,7.67,$4.74,1.62
2022-03-31,8.64,$9.39,0.92
2021-12-31,7.95,$5.76,1.38
2021-09-30,7.11,$6.56,1.08
2021-06-30,7.2,$4.16,1.73
2021-03-31,7.69,$-3.47,0.0
2020-12-31,6.87,$-5.59,0.0
2020-09-30,5.27,$-7.62,0.0
2020-06-30,5.41,$-6.35,0.0
2020-03-31,3.43,$-7.07,0.0
2019-12-31,4.47,$-3.41,0.0
2019-09-30,3.75,$-2.05,0.0
2019-06-30,3.84,$-0.29,0.0
2019-03-31,3.61,$0.81,4.45
2018-12-31,3.76,$0.34,10.99
2018-09-30,3.79,$1.29,2.95
2018-06-30,3.79,$-0.11,0.0
2018-03-31,3.75,$0.98,3.83
2017-12-31,3.64,$1.94,1.88
2017-09-30,3.54,$0.97,3.65
2017-06-30,4.42,$2.92,1.52
2017-03-31,4.71,$1.61,2.93
2016-12-31,4.29,$1.46,2.93
2016-09-30,3.87,$-0.45,0.0
2016-06-30,3.23,$-0.96,0.0
2016-03-31,3.36,$-0.15,0.0
2015-12-31,4.12,$-1.34,0.0
2015-09-30,4.22,$-2.49,0.0
2015-06-30,4.23,$-1.58,0.0
