Synchronoss Technologies Price to Free Cash Flow Ratio Historical Data,Synchronoss Technologies Price to Free Cash Flow Ratio Historical Data,Synchronoss Technologies Price to Free Cash Flow Ratio Historical Data,Synchronoss Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,12.17,,9.72
2024-12-31,9.6,$1.25,7.67
2024-09-30,14.89,$-0.02,0.0
2024-06-30,9.3,$0.08,116.54
2024-03-31,8.35,$0.01,0.0
2023-12-31,6.21,$-0.11,0.0
2023-09-30,8.64,$0.49,17.75
2023-06-30,8.36,$0.29,28.75
2023-03-31,8.46,$0.02,418.81
2022-12-31,5.56,$-0.40,0.0
2022-09-30,10.26,$-1.89,0.0
2022-06-30,10.35,$-2.34,0.0
2022-03-31,15.57,$-2.81,0.0
2021-12-31,21.96,$-2.70,0.0
2021-09-30,21.6,$-4.28,0.0
2021-06-30,32.31,$-3.09,0.0
2021-03-31,32.13,$-1.31,0.0
2020-12-31,42.3,$-3.89,0.0
2020-09-30,27.09,$0.51,52.95
2020-06-30,31.77,$-2.10,0.0
2020-03-31,27.45,$1.06,25.83
2019-12-31,42.75,$2.52,16.97
2019-09-30,48.6,$7.16,6.78
2019-06-30,71.19,$10.55,6.75
2019-03-31,54.72,$-9.23,0.0
2018-12-31,55.26,$-9.62,0.0
2018-09-30,63.0,$-19.57,0.0
2018-06-30,63.0,$-18.13,0.0
2018-03-31,94.95,$-4.90,0.0
2017-12-31,80.46,$-6.13,0.0
2017-09-30,83.97,$10.78,7.79
2017-06-30,148.05,$0.52,282.81
2017-03-31,219.6,$6.58,33.36
2016-12-31,344.7,$12.81,26.91
2016-09-30,370.62,$2.69,137.82
2016-06-30,286.74,$9.19,31.19
2016-03-31,291.06,$14.73,19.76
2015-12-31,317.07,$7.31,43.4
2015-09-30,295.2,$3.25,90.96
2015-06-30,411.57,$7.46,55.14
2015-03-31,427.14,$2.64,161.64
2014-12-31,376.74,$2.99,125.91
2014-09-30,412.02,$10.73,38.39
2014-06-30,314.64,$3.50,89.91
2014-03-31,308.61,$-3.57,0.0
2013-12-31,279.63,$1.72,162.31
2013-09-30,342.54,$-1.86,0.0
2013-06-30,277.83,$5.49,50.58
2013-03-31,279.27,$5.79,48.23
2012-12-31,189.81,$5.21,36.44
2012-09-30,206.1,$4.97,41.44
2012-06-30,166.23,$3.98,41.72
2012-03-31,287.28,$6.08,47.23
2011-12-31,271.89,$6.49,41.88
2011-09-30,224.19,$4.76,47.1
2011-06-30,285.57,$2.43,117.53
2011-03-31,312.75,$1.47,212.32
2010-12-31,240.39,$1.74,138.31
2010-09-30,160.29,$3.92,40.85
2010-06-30,170.73,$5.73,29.8
2010-03-31,174.06,$7.41,23.48
2009-12-31,142.29,$5.11,27.87
