Acme United Price to Free Cash Flow Ratio Historical Data,Acme United Price to Free Cash Flow Ratio Historical Data,Acme United Price to Free Cash Flow Ratio Historical Data,Acme United Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,40.5,,34.39
2024-12-31,37.33,$1.18,31.7
2024-09-30,41.49,$1.77,23.4
2024-06-30,34.79,$2.52,13.83
2024-03-31,46.62,$1.86,25.1
2023-12-31,42.24,$6.62,6.38
2023-09-30,29.31,$7.46,3.93
2023-06-30,24.46,$3.99,6.13
2023-03-31,22.43,$3.15,7.12
2022-12-31,21.09,$-0.38,0.0
2022-09-30,22.17,$-2.82,0.0
2022-06-30,30.31,$-1.57,0.0
2022-03-31,32.16,$-1.41,0.0
2021-12-31,31.87,$-0.31,0.0
2021-09-30,30.96,$0.55,56.33
2021-06-30,41.85,$1.14,36.55
2021-03-31,37.04,$0.38,97.93
2020-12-31,28.08,$0.90,31.27
2020-09-30,21.46,$1.91,11.23
2020-06-30,21.2,$2.68,7.91
2020-03-31,18.58,$4.16,4.47
2019-12-31,21.7,$3.77,5.75
2019-09-30,18.26,$4.12,4.43
2019-06-30,20.36,$2.44,8.33
2019-03-31,14.32,$1.62,8.83
2018-12-31,12.66,$0.46,27.6
2018-09-30,18.81,$-1.58,0.0
2018-06-30,18.34,$-0.92,0.0
2018-03-31,18.32,$-1.17,0.0
2017-12-31,20.37,$-0.63,0.0
2017-09-30,19.93,$0.95,21.01
2017-06-30,24.68,$2.09,11.79
2017-03-31,24.17,$1.80,13.42
2016-12-31,21.9,$1.97,11.12
2016-09-30,17.92,$0.44,40.63
2016-06-30,15.6,$-0.21,0.0
2016-03-31,13.85,$0.07,188.19
2015-12-31,14.58,$-0.18,0.0
2015-09-30,14.44,$0.21,67.56
2015-06-30,15.08,$0.18,84.74
2015-03-31,15.15,$0.61,25.02
2014-12-31,16.42,$0.96,17.12
2014-09-30,13.67,$0.32,42.99
2014-06-30,13.68,$0.50,27.28
2014-03-31,13.28,$0.17,76.47
2013-12-31,11.99,$0.54,22.1
2013-09-30,12.14,$0.43,28.42
2013-06-30,10.29,$-0.34,0.0
2013-03-31,9.58,$-0.13,0.0
2012-12-31,8.68,$-0.63,0.0
2012-09-30,9.23,$0.09,100.77
2012-06-30,7.91,$0.42,18.68
2012-03-31,8.13,$0.52,15.73
2011-12-31,7.22,$0.36,19.94
2011-09-30,7.37,$0.13,58.36
2011-06-30,7.16,$-0.37,0.0
2011-03-31,7.2,$-1.43,0.0
2010-12-31,7.05,$-0.65,0.0
2010-09-30,7.75,$-0.78,0.0
2010-06-30,7.81,$0.79,9.83
2010-03-31,8.03,$2.09,3.84
2009-12-31,6.68,$1.83,3.65
