Universal Health Realty Income Trust Price to Free Cash Flow Ratio Historical Data,Universal Health Realty Income Trust Price to Free Cash Flow Ratio Historical Data,Universal Health Realty Income Trust Price to Free Cash Flow Ratio Historical Data,Universal Health Realty Income Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,41.72,,15.26
2024-12-31,37.21,$2.73,13.61
2024-09-30,44.89,$3.07,14.64
2024-06-30,37.8,$2.42,15.63
2024-03-31,34.79,$2.00,17.4
2023-12-31,40.16,$1.98,20.28
2023-09-30,36.92,$2.38,15.55
2023-06-30,42.75,$2.73,15.66
2023-03-31,42.59,$2.76,15.41
2022-12-31,41.64,$1.76,23.62
2022-09-30,37.16,$0.95,38.95
2022-06-30,45.08,$1.20,37.59
2022-03-31,48.75,$0.80,60.67
2021-12-31,49.07,$1.48,33.12
2021-09-30,45.06,$0.91,49.7
2021-06-30,49.56,$0.66,75.09
2021-03-31,54.03,$1.43,37.83
2020-12-31,50.73,$1.47,34.56
2020-09-30,44.54,$1.81,24.61
2020-06-30,61.48,$1.91,32.11
2020-03-31,77.39,$2.05,37.83
2019-12-31,89.12,$2.21,40.41
2019-09-30,77.6,$2.39,32.49
2019-06-30,63.67,$2.53,25.14
2019-03-31,56.31,$2.38,23.64
2018-12-31,45.23,$2.53,17.9
2018-09-30,54.27,$2.52,21.56
2018-06-30,46.26,$2.63,17.59
2018-03-31,43.02,$1.67,25.72
2017-12-31,53.15,$2.25,23.59
2017-09-30,52.96,$2.22,23.88
2017-06-30,55.31,$2.01,27.46
2017-03-31,44.47,$2.87,15.51
2016-12-31,44.74,$2.19,20.4
2016-09-30,42.53,$2.25,18.94
2016-06-30,38.17,$3.81,10.02
2016-03-31,37.12,$2.70,13.73
2015-12-31,32.6,$2.61,12.47
2015-09-30,30.21,$2.30,13.15
2015-06-30,29.5,$1.09,27.17
2015-03-31,35.23,$2.67,13.18
2014-12-31,29.78,$2.16,13.78
2014-09-30,25.45,$2.79,9.12
2014-06-30,26.16,$2.17,12.03
2014-03-31,25.05,$1.56,16.05
2013-12-31,23.41,$2.18,10.72
2013-09-30,23.74,$0.43,55.4
2013-06-30,24.09,$0.87,27.56
2013-03-31,31.79,$0.81,39.29
2012-12-31,27.58,$0.79,34.91
2012-09-30,24.74,$-1.10,0.0
2012-06-30,22.04,$-1.61,0.0
2012-03-31,20.71,$-1.43,0.0
2011-12-31,20.06,$-1.55,0.0
2011-09-30,17.01,$1.60,10.61
2011-06-30,19.89,$1.86,10.69
2011-03-31,19.86,$1.74,11.42
2010-12-31,17.62,$1.80,9.79
2010-09-30,16.33,$1.78,9.17
2010-06-30,14.96,$1.84,8.12
2010-03-31,16.15,$1.74,9.3
2009-12-31,14.39,$1.52,9.47
