Phio Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Phio Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Phio Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Phio Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.33,,0.0
2024-09-30,3.45,$-21.31,0.0
2024-06-30,6.23,$-25.32,0.0
2024-03-31,6.12,$-29.06,0.0
2023-12-31,6.84,$-46.45,0.0
2023-09-30,13.59,$-52.48,0.0
2023-06-30,25.83,$-77.98,0.0
2023-03-31,50.58,$-89.86,0.0
2022-12-31,40.18,$-96.98,0.0
2022-09-30,61.7,$-100.36,0.0
2022-06-30,75.83,$-95.59,0.0
2022-03-31,95.8,$-95.63,0.0
2021-12-31,108.0,$-100.27,0.0
2021-09-30,219.24,$-167.29,0.0
2021-06-30,244.08,$-168.24,0.0
2021-03-31,289.44,$-107.67,0.0
2020-12-31,290.52,$-207.79,0.0
2020-09-30,231.12,$-714.57,0.0
2020-06-30,236.52,"$-1,122.20",0.0
2020-03-31,191.16,"$-1,542.64",0.0
2019-12-31,1015.74,"$-2,043.18",0.0
2019-09-30,1634.09,"$-1,501.99",0.0
2019-06-30,2257.2,"$-1,070.69",0.0
2019-03-31,2673.0,$-691.84,0.0
2018-12-31,1959.61,$-58.85,0.0
2018-09-30,6949.8,$-2.43,0.0
2018-06-30,11464.2,$-2.86,0.0
2018-03-31,19126.8,$-3.71,0.0
2017-12-31,33014.52,$-4.31,0.0
2017-09-30,28512.0,$-4.99,0.0
2017-06-30,34814.34,$-6.55,0.0
2017-03-31,48114.0,$-8.39,0.0
2016-12-31,42453.18,$-11.51,0.0
2016-09-30,109890.0,$-10.32,0.0
2016-06-30,142560.0,$-7.96,0.0
2016-03-31,160380.0,$-5.13,0.0
2015-12-31,226908.0,$-1.49,0.0
2015-09-30,220314.6,$-1.01,0.0
2015-06-30,291060.0,$-1.02,0.0
2015-03-31,427679.99,$-1.12,0.0
2014-12-31,950399.99,$-0.48,0.0
2014-09-30,1187999.99,$-0.56,0.0
2014-06-30,1793879.98,$-0.66,0.0
2014-03-31,2536379.97,$-0.64,0.0
2013-12-31,1722599.98,$-0.62,0.0
2013-09-30,2078999.98,$-0.78,0.0
2013-06-30,3385799.96,$-0.78,0.0
2013-03-31,4989599.94,$-1.28,0.0
