Lam Research Price to Free Cash Flow Ratio Historical Data,Lam Research Price to Free Cash Flow Ratio Historical Data,Lam Research Price to Free Cash Flow Ratio Historical Data,Lam Research Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,77.55,,24.95
2024-12-31,72.23,$3.11,23.24
2024-09-30,81.37,$3.69,22.08
2024-06-30,105.86,$3.22,32.83
2024-03-31,96.41,$3.42,28.22
2023-12-31,77.56,$3.63,21.36
2023-09-30,61.89,$3.34,18.56
2023-06-30,63.29,$3.44,18.38
2023-03-31,52.04,$2.90,17.93
2022-12-31,41.12,$2.16,19.08
2022-09-30,35.68,$2.36,15.15
2022-06-30,41.37,$1.82,22.78
2022-03-31,52.02,$2.51,20.76
2021-12-31,69.37,$2.81,24.73
2021-09-30,54.78,$2.06,26.59
2021-06-30,62.48,$2.23,28.03
2021-03-31,57.04,$1.83,31.24
2020-12-31,45.15,$1.41,31.94
2020-09-30,31.63,$1.40,22.57
2020-06-30,30.72,$1.29,23.82
2020-03-31,22.71,$1.28,17.8
2019-12-31,27.53,$1.50,18.32
2019-09-30,21.67,$1.68,12.93
2019-06-30,17.52,$1.80,9.76
2019-03-31,16.6,$1.65,10.05
2018-12-31,12.55,$1.60,7.86
2018-09-30,13.88,$1.29,10.8
2018-06-30,15.71,$1.32,11.92
2018-03-31,18.36,$1.35,13.57
2017-12-31,16.6,$1.04,15.89
2017-09-30,16.64,$1.21,13.71
2017-06-30,12.68,$1.02,12.44
2017-03-31,11.48,$0.89,12.87
2016-12-31,9.42,$0.77,12.24
2016-09-30,8.4,$0.73,11.56
2016-06-30,7.43,$0.72,10.38
2016-03-31,7.28,$0.59,12.33
2015-12-31,6.97,$0.60,11.59
2015-09-30,5.71,$0.50,11.32
2015-06-30,7.08,$0.33,21.35
2015-03-31,6.09,$0.39,15.53
2014-12-31,6.87,$0.45,15.33
2014-09-30,6.45,$0.46,14.12
2014-06-30,5.82,$0.42,13.95
2014-03-31,4.72,$0.30,15.99
2013-12-31,4.68,$0.20,23.81
2013-09-30,4.4,$0.23,19.42
2013-06-30,3.81,$0.32,11.8
2013-03-31,3.56,$0.29,12.18
2012-12-31,3.1,$0.34,9.01
2012-09-30,2.73,$0.37,7.37
2012-06-30,3.24,$0.32,10.29
2012-03-31,3.83,$0.41,9.38
2011-12-31,3.18,$0.47,6.71
2011-09-30,3.26,$0.47,6.91
2011-06-30,3.8,$0.60,6.3
2011-03-31,4.87,$0.59,8.22
2010-12-31,4.45,$0.51,8.79
2010-09-30,3.59,$0.44,8.22
2010-06-30,3.27,$0.25,13.29
2010-03-31,3.21,$0.07,42.85
2009-12-31,3.37,$-0.05,0.0
