"Western Midstream Partners, LP Price to Free Cash Flow Ratio Historical Data","Western Midstream Partners, LP Price to Free Cash Flow Ratio Historical Data","Western Midstream Partners, LP Price to Free Cash Flow Ratio Historical Data","Western Midstream Partners, LP Price to Free Cash Flow Ratio Historical Data"
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,41.85,,7.64
2024-12-31,38.43,$5.48,7.01
2024-09-30,37.37,$5.37,6.96
2024-06-30,37.96,$4.92,7.72
2024-03-31,33.12,$4.14,8.0
2023-12-31,26.73,$2.41,11.09
2023-09-30,24.35,$3.19,7.63
2023-06-30,23.25,$3.55,6.54
2023-03-31,22.39,$3.59,6.24
2022-12-31,22.39,$3.73,6.0
2022-09-30,20.61,$3.62,5.7
2022-06-30,19.55,$3.51,5.57
2022-03-31,19.87,$3.54,5.61
2021-12-31,17.31,$3.55,4.88
2021-09-30,16.05,$3.27,4.91
2021-06-30,16.15,$3.28,4.92
2021-03-31,13.8,$2.82,4.89
2020-12-31,10.05,$2.83,3.55
2020-09-30,5.6,$1.88,2.98
2020-06-30,6.81,$1.32,5.14
2020-03-31,2.12,$0.97,2.2
2019-12-31,12.43,$0.33,38.23
2019-09-30,15.27,$0.30,50.5
2019-06-30,18.5,$-0.56,0.0
2019-03-31,19.31,$-1.80,0.0
2018-12-31,16.06,$-2.72,0.0
2018-09-30,16.99,$-3.80,0.0
2018-06-30,19.97,$-2.92,0.0
2018-03-31,18.19,$-1.19,0.0
2017-12-31,20.13,$0.17,116.11
2017-09-30,22.01,$1.99,11.06
2017-06-30,22.7,$2.45,9.26
2017-03-31,24.06,$2.04,11.81
2016-12-31,21.87,$2.19,9.99
2016-09-30,21.73,$1.58,13.79
2016-06-30,19.33,$1.91,10.12
2016-03-31,17.83,$1.86,9.57
2015-12-31,17.89,$1.33,13.43
2015-09-30,19.26,$1.04,18.57
2015-06-30,29.13,$0.10,289.0
2015-03-31,28.98,$-0.23,0.0
2014-12-31,28.93,$-0.46,0.0
2014-09-30,29.13,$-0.59,0.0
2014-06-30,29.84,$-0.67,0.0
2014-03-31,23.25,$-1.05,0.0
2013-12-31,18.6,$-0.88,0.0
2013-09-30,17.41,$-0.71,0.0
